	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV10-3	TRBV10-1	TRBV6-4	TRBV6-5	TRBV7-3	TRBV7-2	TRBV11-2	TRBV7-7	TRBV5-7	TRBV5-6	TRBV5-4	TRBV5-1	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV6-6	TRBV11-1	TRBV15-1	TRBV14-1	TRBV9-1	TRBV2-1	TRBV4-2	TRBV7-8	TRBV23-1	TRBV4-1	TRBV25-1	TRBV18-1
TRBJ2-4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-5	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	2	0	1	0	0	2	2	0	4	0	0	0	1	2	1	0
TRBJ2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRBJ2-7	0	1	2	0	1	2	1	0	0	2	0	1	0	0	0	3	0	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	1
TRBJ2-1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TRBJ2-2	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
TRBJ2-3	0	0	0	0	3	0	0	1	0	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
TRBJ1-6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-5	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0
TRBJ1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0
TRBJ1-3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
TRBJ1-2	0	2	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	0	0	2	0	0
TRBJ1-1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	1	2	0	0	2	0	1	0	2	0	1	0	2	0	0	0
