	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV10-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV7-7	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV12-1	TRBV20-1	TRBV15-1	TRBV14-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV23-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	0	8	2	10	9	5	2	0	0	0	0	6	0	0	3	0	0	0	0	1	6	3	7	1	0	4	4	0	0	0	0	3	0	0	2	3	1	1	0	0	6	0	0	0	2	0	0	0	0	6
TRBJ2-5	0	18	9	7	11	8	26	6	0	0	1	12	11	2	1	18	3	10	0	7	3	35	1	49	14	1	4	15	4	5	0	1	9	4	0	16	9	4	10	1	0	16	4	0	2	20	1	13	16	4	11
TRBJ2-6	0	2	11	2	3	4	5	3	0	0	0	0	1	0	0	2	0	2	0	1	3	2	0	6	1	0	0	6	0	1	0	0	3	2	0	3	1	1	4	0	0	6	1	0	0	2	0	4	1	2	1
TRBJ2-7	2	24	42	71	31	29	55	8	12	2	2	36	16	0	7	33	2	8	0	21	8	62	1	52	24	0	43	21	6	6	1	5	10	8	0	31	11	10	20	0	1	56	11	0	6	13	4	28	10	9	13
TRBJ2-1	2	33	36	28	22	10	44	16	4	0	6	15	4	0	16	22	2	8	7	14	3	29	1	36	20	0	15	8	5	7	0	7	13	4	3	22	11	8	19	0	0	28	1	0	2	19	1	21	9	13	13
TRBJ2-2	0	13	17	8	10	2	22	13	2	1	3	14	9	0	3	15	4	19	0	13	5	21	0	25	11	0	3	8	0	1	0	1	5	6	0	19	4	1	5	0	0	28	4	0	2	7	22	2	3	7	12
TRBJ2-3	0	20	27	22	20	20	29	11	7	0	14	19	8	0	5	14	1	4	0	12	5	39	0	52	11	0	5	11	22	3	1	0	3	9	0	28	12	2	30	0	0	15	3	0	8	16	1	10	5	11	15
TRBJ1-6	0	0	12	15	10	9	2	0	0	0	2	14	0	0	1	2	0	1	0	1	0	11	0	7	3	0	2	11	0	3	0	0	2	1	1	5	2	0	14	0	0	10	1	0	1	8	0	3	0	1	7
TRBJ1-5	0	2	45	13	19	22	21	0	4	0	5	16	9	0	2	2	0	1	0	7	3	18	1	4	5	2	7	13	4	2	0	0	6	1	0	5	2	1	0	0	0	20	4	0	0	9	2	11	4	0	9
TRBJ1-4	0	7	12	1	14	4	34	5	1	0	0	14	6	0	2	12	0	4	0	1	2	12	0	24	6	0	5	3	1	4	0	3	6	3	0	11	6	0	8	0	0	23	3	0	0	6	0	8	6	1	18
TRBJ1-3	0	2	5	5	8	6	10	2	3	0	1	8	6	0	0	4	2	6	0	4	0	1	0	16	6	0	0	12	2	1	0	0	4	5	0	15	8	0	4	0	0	8	0	0	0	4	0	18	1	0	9
TRBJ1-2	0	23	65	32	21	26	30	4	0	0	3	35	12	0	3	11	0	1	0	26	6	12	3	36	18	0	11	16	1	5	0	7	5	8	0	18	5	5	13	1	0	29	8	2	3	5	4	18	6	2	11
TRBJ1-1	1	43	43	31	29	27	29	10	0	0	2	30	11	1	7	15	1	4	0	13	7	21	1	60	30	0	5	32	7	5	0	3	8	5	0	26	7	3	19	0	0	45	2	0	2	25	0	34	13	3	32
