	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV7-7	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV12-1	TRBV20-1	TRBV15-1	TRBV7-1	TRBV14-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV23-1	TRBV16-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	2	9	407	40	0	4	3	10	0	0	0	11	6	0	5	37	0	0	1	13	2	8	0	9	5	0	10	5	1	3	0	1	4	0	1	0	22	13	25	2	6	0	9	18	1	0	0	9	14	0	229	9	0	28
TRBJ2-5	0	136	85	134	0	43	184	55	1	1	6	123	20	0	203	103	16	16	0	187	11	107	0	242	138	0	16	225	25	15	0	7	37	0	25	2	121	128	138	32	80	1	103	201	29	0	19	38	5	0	21	204	45	78
TRBJ2-6	0	88	72	9	0	5	44	18	0	0	3	10	5	0	0	10	0	2	2	9	3	13	0	24	10	0	8	13	0	3	11	0	5	1	7	0	19	15	6	2	7	1	18	33	52	0	0	9	1	0	1	4	16	18
TRBJ2-7	2	161	247	403	0	77	75	265	0	6	13	228	82	3	78	130	37	51	0	123	35	268	6	400	154	1	94	157	16	58	3	27	43	0	68	10	188	230	250	42	78	2	161	388	67	0	41	77	22	1	20	103	87	110
TRBJ2-1	2	199	260	186	0	161	62	135	1	0	41	71	46	5	45	84	6	50	3	88	19	189	3	218	62	0	327	105	18	22	0	78	38	0	76	10	139	668	179	48	86	2	72	190	15	1	53	67	3	0	15	217	57	44
TRBJ2-2	0	56	94	59	0	137	33	46	0	0	9	159	22	0	31	98	13	31	0	128	11	74	0	221	64	0	8	64	10	15	0	2	22	0	33	3	110	128	119	6	57	1	20	187	9	0	7	47	3	0	14	17	93	28
TRBJ2-3	9	126	201	245	0	87	55	165	0	4	15	112	2586	1	18	119	5	29	0	174	16	144	9	273	78	0	12	77	13	33	7	5	41	0	61	7	120	186	183	50	537	1	180	95	43	0	58	63	8	0	14	51	73	52
TRBJ1-6	0	0	83	55	0	13	21	16	1	0	6	118	4	0	3	33	0	3	0	24	5	4	1	66	24	0	4	33	0	5	0	0	10	0	7	0	18	163	16	3	25	0	51	21	4	0	15	0	3	0	1	35	5	26
TRBJ1-5	5	30	260	71	0	12	20	82	0	0	4	24	26	3	3	146	2	9	0	32	13	75	1	46	51	0	45	45	8	41	0	2	26	0	10	15	39	31	64	1	2	1	260	106	9	0	0	14	12	0	6	13	7	40
TRBJ1-4	1	27	67	71	0	14	19	65	0	0	2	79	28	145	0	38	0	5	0	132	18	19	0	66	29	0	2	78	5	17	0	1	37	0	11	0	19	32	60	4	19	0	67	53	3	0	1	15	0	0	3	11	9	14
TRBJ1-3	1	27	394	13	0	13	6	24	1	1	0	22	24	0	4	33	0	7	0	18	12	15	0	45	20	0	6	68	2	3	0	5	9	0	6	0	11	31	42	20	15	0	88	58	5	0	1	1	2	0	6	6	5	38
TRBJ1-2	1	418	399	315	27	66	41	160	1	0	9	242	51	2	5	151	1	46	0	149	35	92	16	454	88	0	53	119	37	29	0	60	66	0	22	3	77	79	138	13	96	2	153	158	28	2	18	35	9	0	4	58	18	86
TRBJ1-1	3	211	527	316	0	63	72	445	0	1	32	160	76	0	25	120	3	42	0	76	17	288	0	256	79	1	21	194	15	35	0	54	45	0	28	3	91	294	199	14	115	25	116	131	99	0	18	56	9	0	9	156	31	93
