	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV10-1	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV7-7	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV12-1	TRBV20-1	TRBV15-1	TRBV14-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV23-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	94	2	8	0	5	0	0	0	20	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0
TRBJ2-5	12	4	3	3	6	12	0	8	0	6	0	0	13	11	1	3	12	4	8	2	0	245	6	0	21	1	0	0	0	0	2	0	6	3	1	5	0	13	2	1	6	2	4	13	1	8	0
TRBJ2-6	11	4	1	1	2	0	6	0	1	0	0	0	0	0	0	0	0	0	3	0	1	4	0	2	3	0	0	21	0	0	0	0	2	1	0	0	0	4	1	0	0	0	1	0	1	1	1
TRBJ2-7	9	66	35	21	22	29	1	1	1	11	12	0	4	21	0	1	25	5	17	0	0	47	46	10	10	2	4	1	1	4	3	1	120	5	3	7	0	70	4	5	20	0	35	11	6	4	0
TRBJ2-1	15	20	7	4	9	10	4	1	2	12	7	1	7	6	0	8	7	3	25	0	0	16	3	513	9	4	4	0	3	5	3	2	58	31	39	8	0	14	0	3	9	1	12	23	4	5	0
TRBJ2-2	2	20	7	5	0	10	15	1	0	6	1	0	5	14	3	2	31	0	3	0	0	565	14	7	9	0	0	0	0	0	9	0	20	23	1	4	0	43	0	0	3	1	5	0	11	1	0
TRBJ2-3	3	13	88	14	364	17	2	7	1	8	51	0	1	14	1	0	17	3	20	1	0	14	7	2	4	3	4	0	0	5	6	1	13	5	5	527	0	4	4	4	51	0	32	2	14	5	0
TRBJ1-6	0	14	6	10	5	3	0	0	3	12	0	0	0	3	0	1	1	0	2	0	0	14	1	0	3	0	0	0	0	0	2	0	46	1	1	2	0	0	0	4	30	0	27	0	1	4	0
TRBJ1-5	0	36	11	16	33	4	0	2	0	7	3	0	0	4	2	0	0	0	10	0	0	0	9	0	4	1	2	0	0	3	0	0	1	0	0	0	0	7	0	0	1	0	2	0	1	7	0
TRBJ1-4	0	10	2	9	12	9	0	0	0	13	4	114	0	5	0	1	12	1	3	0	0	0	0	0	6	1	2	0	0	2	0	0	0	0	0	1	0	4	0	0	7	0	54	0	1	3	0
TRBJ1-3	0	28	0	2	8	4	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	2	3	0	13	0	0	0	0	1	1	0	5	4	3	2	0	5	0	0	0	1	4	0	2	3	0
TRBJ1-2	32	18	37	7	40	11	0	2	3	17	2	0	0	11	0	1	54	1	6	0	0	175	3	9	1	1	1	0	152	0	4	0	7	3	1	4	0	8	0	0	1	2	13	5	1	7	0
TRBJ1-1	32	57	68	12	6	27	7	0	5	17	3	0	33	8	1	0	11	4	37	0	0	20	7	4	11	21	7	0	4	2	3	0	84	2	0	18	7	9	2	2	5	1	9	19	2	7	0
