VJcombo	EC08_Reads	EC08_Freq
TRBV10-2.TRBJ2-5	31	0.000714911673816
TRBV10-2.TRBJ2-4	4	9.22466675891e-05
TRBV10-2.TRBJ2-7	57	0.00131451501315
TRBV10-2.TRBJ2-6	2	4.61233337946e-05
TRBV10-2.TRBJ2-1	41	0.000945528342789
TRBV10-2.TRBJ2-3	32	0.000737973340713
TRBV10-2.TRBJ2-2	20	0.000461233337946
TRBV23-1.TRBJ1-3	4	9.22466675891e-05
TRBV6-7.TRBJ1-4	1	2.30616668973e-05
TRBV6-7.TRBJ1-3	5	0.000115308334486
TRBV23-1.TRBJ1-4	5	0.000115308334486
TRBV10-1.TRBJ2-2	60	0.00138370001384
TRBV6-7.TRBJ2-3	2	4.61233337946e-05
TRBV5-8.TRBJ1-2	37	0.000853281675199
TRBV10-1.TRBJ2-7	78	0.00179881001799
TRBV4-1.TRBJ1-5	142	0.00327475669941
TRBV4-1.TRBJ1-4	109	0.0025137216918
TRBV4-1.TRBJ1-6	69	0.00159125501591
TRBV4-1.TRBJ1-1	138	0.00318251003183
TRBV4-1.TRBJ1-3	53	0.00122226834556
TRBV4-1.TRBJ1-2	160	0.00368986670357
TRBV4-1.TRBJ2-6	14	0.000322863336562
TRBV4-1.TRBJ2-7	261	0.00601909506019
TRBV4-1.TRBJ2-4	17	0.000392048337254
TRBV4-1.TRBJ2-5	132	0.00304414003044
TRBV4-1.TRBJ2-2	114	0.00262903002629
TRBV4-1.TRBJ2-3	123	0.00283658502837
TRBV4-1.TRBJ2-1	225	0.00518887505189
TRBV14-1.TRBJ1-5	13	0.000299801669665
TRBV14-1.TRBJ1-4	18	0.000415110004151
TRBV14-1.TRBJ1-6	25	0.000576541672432
TRBV14-1.TRBJ1-1	62	0.00142982334763
TRBV14-1.TRBJ1-3	38	0.000876343342097
TRBV14-1.TRBJ1-2	81	0.00186799501868
TRBV9-1.TRBJ1-4	97	0.00223698168904
TRBV14-1.TRBJ2-7	104	0.00239841335732
TRBV9-1.TRBJ1-6	87	0.00200636502006
TRBV14-1.TRBJ2-5	27	0.000622665006227
TRBV14-1.TRBJ2-2	43	0.000991651676583
TRBV9-1.TRBJ1-1	214	0.00493519671602
TRBV9-1.TRBJ1-2	262	0.00604215672709
TRBV9-1.TRBJ1-3	122	0.00281352336147
TRBV7-6.TRBJ2-2	46	0.00106083667728
TRBV7-6.TRBJ2-3	74	0.0017065633504
TRBV7-6.TRBJ2-1	103	0.00237535169042
TRBV7-6.TRBJ2-6	7	0.000161431668281
TRBV7-6.TRBJ2-7	106	0.00244453669111
TRBV7-6.TRBJ2-4	6	0.000138370001384
TRBV7-6.TRBJ2-5	71	0.00163737834971
TRBV10-2.TRBJ1-6	19	0.000438171671048
TRBV10-2.TRBJ1-4	6	0.000138370001384
TRBV10-2.TRBJ1-5	26	0.000599603339329
TRBV10-2.TRBJ1-2	41	0.000945528342789
TRBV10-2.TRBJ1-3	19	0.000438171671048
TRBV10-2.TRBJ1-1	47	0.00108389834417
TRBV6-4.TRBJ1-3	3	6.91850006919e-05
TRBVA-or09_02.TRBJ2-7	2	4.61233337946e-05
TRBV7-8.TRBJ2-1	88	0.00202942668696
TRBV7-8.TRBJ2-2	72	0.0016604400166
TRBV4-3.TRBJ2-3	69	0.00159125501591
TRBV25-1.TRBJ2-4	3	6.91850006919e-05
TRBV21-1.TRBJ1-1	42	0.000968590009686
TRBV4-3.TRBJ2-4	17	0.000392048337254
TRBV21-1.TRBJ1-3	9	0.000207555002076
