	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV7-9	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV7-7	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV12-1	TRBV20-1	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV23-1	TRBV16-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	3	34	45	23	0	38	17	8	0	0	7	19	7	1	5	32	0	6	0	10	3	20	1	27	6	0	10	8	7	0	4	0	3	8	0	4	0	1	15	24	9	6	15	0	16	30	4	0	5	10	3	0	17	3	1	23
TRBJ2-5	5	103	161	113	0	192	39	28	1	2	24	144	65	2	30	123	27	71	1	92	33	132	5	306	67	1	25	89	41	0	37	1	30	59	0	27	0	6	125	203	56	38	138	0	68	176	31	0	29	82	8	0	132	39	47	100
TRBJ2-6	0	20	45	21	0	19	14	0	0	0	9	21	7	1	4	28	3	7	0	19	6	25	0	41	6	0	8	14	6	0	12	0	0	13	0	8	0	4	18	35	8	5	19	0	15	26	2	0	7	6	4	0	14	10	8	21
TRBJ2-7	5	216	500	391	2	556	127	78	2	4	35	401	194	13	35	350	22	106	4	214	87	393	16	489	172	8	77	206	62	0	89	1	48	136	0	104	0	7	273	309	136	126	204	3	201	389	57	0	74	166	24	0	261	69	62	214
TRBJ2-1	5	131	260	179	0	249	102	38	0	1	82	172	97	2	59	146	17	103	2	107	37	192	6	311	97	0	55	146	44	0	59	5	34	43	0	85	2	6	136	275	91	71	138	4	77	266	41	0	21	88	11	0	225	71	64	148
TRBJ2-2	2	79	187	98	0	153	66	60	1	0	78	118	37	0	30	112	20	46	0	74	22	125	6	188	79	0	33	96	11	0	30	0	5	40	0	43	0	1	84	185	56	30	109	1	47	151	20	1	26	72	7	0	114	35	57	87
TRBJ2-3	1	111	199	152	0	231	69	63	0	1	93	175	71	2	49	167	15	74	0	125	35	230	13	374	108	1	35	117	27	0	48	1	18	66	0	55	0	3	108	285	56	44	155	0	76	201	32	3	33	84	11	0	123	34	75	109
TRBJ1-6	0	8	133	63	0	87	3	11	2	0	15	148	29	1	1	117	0	19	0	36	16	37	4	137	36	0	11	84	7	0	9	0	4	22	0	25	0	2	41	87	39	18	52	0	68	123	19	0	7	27	6	0	69	24	28	77
TRBJ1-5	5	29	318	142	0	111	31	44	0	0	33	138	145	3	5	203	5	21	5	38	34	121	7	86	53	2	33	149	51	0	33	2	2	82	0	13	0	3	39	75	66	35	29	2	99	217	26	0	4	75	6	0	142	19	24	86
TRBJ1-4	1	38	107	60	0	120	45	17	1	0	6	77	37	1	3	93	1	19	0	34	27	48	3	114	24	2	27	50	13	0	11	1	7	36	0	18	0	1	56	97	33	12	63	0	45	121	6	0	5	38	5	0	109	38	7	48
TRBJ1-3	0	47	118	41	0	130	22	8	0	2	3	94	30	5	5	97	0	34	0	60	12	45	1	89	46	1	9	71	9	0	21	2	3	28	0	38	0	1	48	122	32	13	39	0	56	80	19	0	5	25	4	0	53	33	14	69
TRBJ1-2	8	270	449	206	0	355	71	28	0	6	43	304	107	6	7	278	3	40	0	177	61	183	4	321	139	0	65	230	37	2	61	3	64	110	0	81	0	5	114	262	79	24	224	2	184	374	41	0	26	89	13	2	160	89	44	180
TRBJ1-1	1	224	405	190	0	750	71	36	0	3	36	335	129	1	64	188	8	35	0	159	53	173	7	378	106	2	42	216	25	0	200	1	54	76	1	62	0	4	116	214	56	55	136	5	132	401	47	0	44	84	14	0	138	77	87	188
