	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV2-1	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV20-or09_02	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV8-2	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	81	212	197	0	51	41	68	1	0	181	2	61	50	3	4	163	51	17	0	63	6	61	6	0	178	18	1	17	113	19	13	2	410	159	74	30	0	207	1	57	110	139	29	72	4	125	0	9	7	0	2	13	3	33	15	10	26	20	74
TRBJ2-5	16	505	734	844	0	238	324	335	2	5	876	0	465	264	2	94	736	261	327	1	397	71	395	15	0	1589	251	8	73	573	77	73	161	2194	634	346	208	0	926	15	349	810	843	144	572	2	627	0	91	75	0	7	42	9	222	63	36	155	327	586
TRBJ2-6	3	93	197	224	1	42	45	48	1	0	169	0	127	31	0	8	162	39	32	0	64	16	73	1	0	264	64	2	6	123	34	24	4	169	133	61	26	0	138	2	40	166	123	19	88	0	118	0	12	30	0	0	3	21	36	10	12	23	63	83
TRBJ2-7	53	1597	2024	3226	1	586	922	1309	9	53	2701	2	1507	771	17	199	2560	786	624	5	789	380	1173	55	0	3631	866	9	364	1358	193	195	130	4529	1683	728	589	0	2341	46	1233	1464	2723	407	943	15	3100	0	361	204	8	10	145	58	273	245	122	366	501	1131
TRBJ2-1	18	803	1310	1610	0	439	595	665	2	4	1442	0	837	428	9	269	1102	466	434	0	485	109	660	25	0	2320	443	5	121	734	109	166	195	3269	1329	545	342	0	1374	23	646	1635	1573	232	665	5	934	0	147	136	1	9	48	14	543	156	161	372	797	694
TRBJ2-2	3	391	817	881	0	354	295	291	0	1	716	0	444	205	8	165	643	246	235	1	216	111	301	10	0	1431	299	2	118	530	44	96	103	1156	742	247	144	0	841	11	331	906	659	91	394	1	435	0	77	51	0	4	31	4	252	121	93	127	433	423
TRBJ2-3	20	531	915	1260	0	329	296	391	5	4	891	0	560	297	5	127	760	277	431	1	374	89	396	10	0	1786	531	3	67	555	85	90	88	2197	735	339	167	0	841	15	374	1139	903	223	580	1	620	0	93	54	0	7	41	12	345	115	133	122	653	458
TRBJ1-6	5	28	456	529	0	88	138	161	4	3	428	0	346	160	9	21	534	122	88	2	245	70	188	13	0	434	128	3	43	527	19	69	4	546	375	101	121	0	464	12	148	478	350	39	132	1	80	0	17	25	0	1	17	8	27	21	42	130	112	215
TRBJ1-5	21	305	1709	1528	1	180	434	332	1	6	1233	0	515	437	13	50	1381	637	140	9	247	134	361	25	0	599	301	10	142	889	104	101	21	1921	1206	481	40	1	906	27	186	415	638	51	73	2	1181	1	144	17	0	4	69	23	206	64	51	136	83	511
TRBJ1-4	8	203	408	350	0	109	170	209	1	2	496	0	251	165	1	20	315	82	68	2	113	73	121	7	0	658	116	2	45	466	36	34	23	606	329	191	60	0	405	5	147	282	545	40	180	0	367	0	23	17	1	3	17	8	40	21	13	86	21	262
TRBJ1-3	4	117	263	240	0	86	140	167	1	1	344	0	204	126	1	23	407	59	147	3	157	52	154	4	0	505	142	0	28	354	19	30	26	435	353	109	66	0	397	2	107	425	285	58	133	1	201	0	22	17	0	0	8	6	27	26	20	145	50	213
TRBJ1-2	13	1241	1868	1497	2	454	565	770	4	3	1885	0	1098	613	0	28	1523	320	148	2	755	233	623	24	1	1850	584	8	137	1551	78	150	7	2489	1301	449	356	0	1828	22	415	1311	1628	218	707	1	1309	0	148	81	6	13	103	44	256	103	121	327	243	789
TRBJ1-1	9	831	1327	1643	2	225	364	492	5	8	1134	0	812	375	3	105	977	267	256	2	460	137	306	20	0	1785	422	2	134	1053	67	120	58	1796	1011	345	238	0	961	19	381	874	1133	339	489	16	682	0	93	99	0	4	83	18	226	104	74	220	395	741
