	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV5-8	TRBV21-1	TRBV30-1	TRBV7-4	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV12-1	TRBV23-1	TRBV7-5	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	3	1	0	5	1	3	0	1	0	0	3	0	0	0	5	1	0	1	0	2	0	6	0	0	2	0	0	0	3	1	3	1	2	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-5	0	7	2	8	25	1	20	2	5	1	2	10	10	0	5	16	9	7	21	4	5	0	30	3	8	21	0	0	1	42	16	3	3	21	0	15	11	2	5	6	2	1	6	0	0	0	7	2	5	4	1
TRBJ2-6	0	2	7	0	12	0	0	1	3	0	3	3	0	0	0	1	0	0	1	1	1	0	11	0	0	5	0	4	0	2	0	6	0	1	0	3	3	2	0	2	1	0	8	0	0	0	0	0	0	4	5
TRBJ2-7	0	15	53	30	50	11	37	36	35	1	1	13	4	0	29	29	15	10	14	12	10	4	30	0	9	20	0	0	0	83	23	5	45	12	1	24	1	3	40	26	3	0	21	0	0	0	10	5	2	3	13
TRBJ2-1	0	17	29	29	40	6	22	16	33	0	26	24	16	2	20	16	6	7	22	6	13	1	33	2	2	31	0	16	1	96	22	5	11	32	0	21	12	4	7	24	1	2	8	0	2	0	7	9	2	16	7
TRBJ2-2	0	7	10	4	21	4	11	3	7	0	16	16	3	0	4	3	8	1	9	1	9	0	32	0	1	16	0	8	4	25	37	6	1	14	0	11	11	1	6	15	6	0	12	0	1	0	2	28	1	9	4
TRBJ2-3	0	9	19	24	48	11	17	4	2	0	35	14	7	0	8	17	10	7	19	4	6	0	35	3	0	21	2	6	1	71	17	11	1	14	0	37	8	4	15	14	1	4	5	1	0	1	5	1	5	14	6
TRBJ1-6	0	0	4	2	19	0	9	0	8	0	4	7	21	0	4	17	2	0	0	4	1	0	9	1	2	11	0	0	0	8	4	1	0	2	0	8	1	0	5	3	0	0	5	0	1	0	16	0	0	3	1
TRBJ1-5	0	3	21	13	26	1	7	3	11	0	2	3	3	0	1	2	3	1	9	3	35	0	8	0	7	32	0	1	0	32	12	12	0	8	2	7	1	0	3	15	2	0	3	0	0	0	3	0	3	2	3
TRBJ1-4	0	2	8	4	18	0	4	2	4	0	0	5	7	0	0	0	0	0	5	0	2	0	0	0	0	13	0	0	0	6	3	5	6	7	0	17	2	3	9	5	0	0	0	0	0	0	2	0	1	0	7
TRBJ1-3	1	2	2	4	5	1	9	0	4	0	1	5	3	0	0	1	1	0	8	0	1	0	10	0	0	22	0	1	0	10	8	1	2	4	0	7	0	1	0	2	1	1	2	0	0	0	0	1	0	1	4
TRBJ1-2	8	18	32	4	29	10	20	31	16	0	2	33	12	0	5	6	16	3	20	13	6	6	32	0	1	33	0	3	0	47	27	7	11	20	0	20	6	0	9	24	2	0	36	1	2	0	12	2	1	3	11
TRBJ1-1	0	21	32	8	22	2	23	1	15	0	2	15	15	0	16	11	4	4	5	4	18	1	23	3	0	24	0	23	6	39	50	5	1	22	0	79	13	1	6	17	0	4	11	1	3	0	5	4	3	10	9
