	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV10-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	15	52	10	23	7	19	0	0	0	0	19	7	0	7	53	9	10	0	110	5	51	1	0	67	68	1	7	21	7	0	2	0	200	29	57	12	26	0	50	15	18	49	24	1	0	113	15	0	2	0	0	1	0	3	29	7	8	9	21
TRBJ2-5	1	88	294	687	316	77	92	29	2	1	1	1153	149	0	282	659	43	86	0	137	56	173	8	0	630	95	1	21	457	35	0	19	40	1093	556	168	33	388	11	260	179	2643	18	96	8	1	498	17	0	16	0	6	8	1	172	158	27	195	137	231
TRBJ2-6	3	32	97	33	22	27	8	0	0	0	1	27	2	0	2	82	12	8	0	16	9	14	0	0	70	112	0	2	46	5	0	22	3	38	34	16	4	38	1	11	24	43	8	7	0	0	42	5	1	0	0	1	0	0	4	25	32	3	81	16
TRBJ2-7	61	560	1571	1148	1082	92	1030	46	5	1	2	531	243	3	419	856	272	1179	10	231	357	508	11	0	655	386	0	78	733	17	4	10	31	2123	412	123	487	537	13	483	2328	537	52	1310	3	0	784	112	0	31	5	23	57	25	119	1106	26	34	184	410
TRBJ2-1	2	170	5017	2828	85	119	853	271	5	5	3	2486	284	1	801	778	105	246	0	553	64	2791	171	0	1130	176	5	78	262	35	0	312	47	2334	545	120	91	432	483	457	652	989	100	392	3	1	719	77	0	43	2	2	7	43	131	427	259	98	775	155
TRBJ2-2	0	300	185	788	27	414	79	923	1	0	0	267	64	0	102	684	96	90	0	99	32	151	5	0	435	166	0	8	186	24	0	40	37	1188	222	128	43	152	1	303	147	201	24	178	0	0	232	82	0	9	1	2	7	1	227	76	221	30	254	180
TRBJ2-3	7	139	359	2471	334	101	225	46	0	1	0	321	59	1	161	504	103	66	2	895	142	251	20	0	585	149	0	33	375	132	0	83	12	1053	332	96	43	325	7	299	457	491	130	368	5	0	375	62	0	31	1	3	3	0	89	143	286	13	219	152
TRBJ1-6	0	3	94	235	11	17	9	0	0	0	0	139	54	0	43	269	18	14	1	36	241	127	5	0	174	42	0	4	183	26	0	134	2	221	75	8	8	92	0	184	144	79	8	381	0	0	170	5	0	7	0	22	3	1	57	55	88	43	17	53
TRBJ1-5	4	32	716	329	114	76	111	11	0	2	1	509	130	1	35	704	34	26	4	218	635	271	19	0	128	81	59	103	242	25	0	24	1	508	292	182	11	194	7	24	152	401	21	80	2	0	793	51	0	4	0	0	9	10	39	107	26	18	32	351
TRBJ1-4	1	49	98	57	21	32	54	4	0	0	0	93	98	0	14	175	10	26	0	69	20	71	4	0	154	57	0	13	136	20	0	10	5	119	59	85	129	141	1	15	410	317	93	83	0	0	337	5	0	0	0	0	2	7	15	67	11	37	6	71
TRBJ1-3	1	236	53	25	25	11	15	17	1	0	0	98	61	3	29	381	19	10	0	258	4	350	2	0	299	59	0	16	148	6	0	48	3	311	97	15	19	185	0	159	372	57	8	40	0	0	119	10	0	3	0	0	5	2	11	67	10	18	130	168
TRBJ1-2	148	178	876	779	192	259	334	50	2	1	1	1071	559	0	84	644	229	23	0	586	155	310	44	1	2763	373	0	38	563	51	0	55	8	833	1191	94	100	761	0	162	382	904	70	411	5	0	1585	36	0	10	10	1	10	5	96	1094	55	70	88	363
TRBJ1-1	3	1706	934	402	289	162	355	292	4	4	0	580	1177	0	314	370	56	216	3	68	176	552	19	0	965	1184	1	33	568	261	0	1033	90	1447	1610	175	73	526	3	277	2892	1197	38	161	3	0	1032	71	0	29	0	0	24	15	73	165	93	191	223	346
