	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	5	8	7	7	0	0	0	0	0	0	9	2	0	0	5	26	2	0	0	1	14	0	0	15	0	0	2	29	1	0	0	12	4	0	1	14	0	0	4	7	2	0	2	0	6	1	0	0	1	0	0	0	1	0	2	0	2
TRBJ2-5	0	21	32	36	36	12	12	3	0	1	1	41	21	0	5	13	68	8	0	20	4	34	2	0	56	0	0	41	3	4	0	9	141	168	15	7	41	1	0	14	44	117	22	11	0	23	0	0	3	4	0	0	0	13	11	8	3	31
TRBJ2-6	2	3	15	5	31	1	3	0	0	2	0	49	11	0	1	15	11	3	0	5	0	8	0	0	13	1	1	1	5	16	0	0	12	3	19	11	3	0	1	4	6	3	0	0	0	5	0	0	0	1	0	0	0	0	4	9	6	2
TRBJ2-7	0	44	95	104	207	70	21	1	1	6	11	64	782	2	17	50	152	37	0	95	14	87	6	0	140	2	0	47	5	12	0	13	182	59	45	46	95	0	0	256	164	136	270	60	0	99	1	0	6	38	5	3	2	7	124	7	2	24
TRBJ2-1	2	102	46	44	58	23	106	0	0	0	43	26	18	0	35	50	67	8	0	86	8	38	7	0	71	8	0	3	6	4	0	3	312	35	23	7	32	1	0	84	51	28	15	11	0	190	0	0	2	31	0	0	3	197	26	9	21	22
TRBJ2-2	0	11	36	15	21	20	17	6	0	0	18	10	13	18	84	13	67	59	0	100	1	23	1	0	158	1	0	2	18	1	0	8	31	27	28	1	46	0	0	20	40	41	12	22	0	31	0	0	5	9	0	1	0	47	27	3	22	12
TRBJ2-3	0	36	35	34	45	21	54	2	1	0	13	8	22	0	4	20	39	8	0	8	9	36	0	0	45	1	0	2	12	4	4	1	67	47	17	3	23	0	0	611	75	29	7	8	0	27	0	0	9	15	1	1	0	63	53	6	22	18
TRBJ1-6	0	0	1	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-5	0	2	76	81	77	1	7	0	1	1	5	30	29	1	1	222	59	4	0	1	7	24	0	0	8	0	1	1	23	3	0	0	68	57	31	0	43	0	0	0	69	26	0	2	0	39	3	0	0	9	0	4	1	17	77	4	10	23
TRBJ1-4	0	4	15	3	18	0	6	0	0	2	0	8	3	1	0	21	3	3	0	3	5	7	0	0	23	0	0	4	3	2	0	0	11	35	6	2	24	0	0	7	41	16	0	3	0	15	0	0	0	0	0	0	0	1	8	2	6	20
TRBJ1-3	0	37	5	1	22	3	5	0	0	0	0	11	1	0	0	20	2	2	0	4	2	8	0	0	6	1	0	0	11	4	0	0	11	9	5	4	9	0	0	5	13	17	0	10	1	11	0	0	4	2	0	0	0	0	0	1	1	3
TRBJ1-2	1	18	44	82	109	12	50	2	5	0	3	41	23	0	0	59	64	5	0	23	16	72	2	1	79	1	0	3	4	2	0	0	148	116	11	2	43	0	0	10	69	98	42	22	0	72	2	0	12	3	0	0	6	22	23	20	2	46
TRBJ1-1	0	56	47	22	75	8	20	0	0	1	5	36	58	0	15	29	39	69	1	8	22	28	0	0	58	1	0	6	13	1	0	0	93	69	2	37	55	0	0	25	118	30	6	12	0	147	4	1	8	20	0	0	1	4	25	1	5	21
