	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV8-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV26-or09_02	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV5-3	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	3	4	8	3	9	0	1	0	0	1	7	1	0	0	6	9	0	0	1	3	6	0	5	1	0	3	0	1	9	0	12	1	4	0	0	3	7	0	4	5	9	2	1	0	12	1	0	1	0	0	0	0	0	0	1	0	11	0
TRBJ2-5	0	17	28	27	16	24	10	20	0	0	4	16	7	0	4	12	11	6	0	14	5	19	0	71	7	0	3	0	3	1	8	48	26	7	0	0	9	45	0	12	26	8	1	47	0	29	1	24	3	2	0	1	0	24	1	6	48	22	0
TRBJ2-6	0	1	13	6	6	2	1	6	0	1	3	4	2	0	7	13	0	2	0	3	0	7	1	10	2	0	0	0	1	1	2	3	3	4	1	0	0	5	0	12	4	3	0	5	0	6	0	0	1	6	1	3	0	2	1	2	9	12	0
TRBJ2-7	6	28	108	92	109	144	51	45	2	3	6	203	55	1	10	66	61	28	0	28	31	116	0	579	36	1	13	1	7	3	7	310	57	41	0	0	26	94	0	83	298	25	11	61	1	82	3	8	7	9	0	1	3	27	6	11	27	110	0
TRBJ2-1	0	56	97	49	46	38	18	22	0	0	19	47	13	0	17	39	57	17	0	36	11	67	0	147	52	0	7	2	30	6	20	108	91	28	0	0	20	13	0	35	94	50	23	24	0	75	1	210	4	13	2	2	1	48	8	12	62	66	0
TRBJ2-2	1	9	175	23	22	16	4	31	0	0	15	17	10	0	8	18	15	24	0	9	9	28	0	93	114	0	2	0	9	2	4	71	25	3	0	0	4	47	3	9	31	3	5	17	0	28	2	5	2	10	1	3	7	15	11	4	21	18	0
TRBJ2-3	0	23	32	19	22	39	16	33	0	1	13	32	22	0	10	20	19	75	1	11	10	41	0	80	13	0	3	0	7	3	3	98	62	18	0	0	2	39	2	21	49	9	9	25	0	31	2	2	7	15	0	1	0	7	1	7	40	35	0
TRBJ1-6	0	0	0	2	4	0	1	1	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0	4	1	0	0	0	0	2	0	0	1	1	1	1	0	5	0	0	1	1	0	0	0	0	2	1	1	2	0
TRBJ1-5	0	11	78	69	63	38	10	88	0	1	4	45	38	0	0	48	92	8	0	8	8	39	0	55	338	0	8	4	12	7	0	82	39	31	0	0	2	18	0	13	23	5	1	1	1	108	3	1	2	18	0	2	0	114	6	5	14	69	0
TRBJ1-4	0	3	10	16	20	20	10	19	0	1	1	13	3	0	1	18	7	928	0	3	3	40	0	64	2	0	1	0	2	1	0	19	15	8	0	1	1	49	0	8	12	3	0	12	0	12	0	0	2	1	0	1	1	1	0	5	6	24	0
TRBJ1-3	0	5	9	31	59	64	4	3	0	0	0	25	8	0	0	11	3	9	0	5	2	34	0	47	6	0	1	2	0	1	2	12	41	0	0	0	1	23	0	29	27	3	1	7	0	9	0	5	0	2	0	1	1	0	0	1	1	12	0
TRBJ1-2	0	39	61	65	61	223	35	100	1	1	6	47	40	0	2	45	68	13	2	24	14	29	1	101	11	0	8	0	14	0	0	101	37	4	0	2	7	68	2	35	33	11	4	47	0	57	8	2	9	11	1	0	1	21	0	6	29	41	3
TRBJ1-1	0	59	58	49	50	133	14	12	0	0	13	59	23	0	15	29	62	8	0	45	14	18	0	97	14	1	12	0	0	42	0	132	60	11	0	0	9	116	0	21	44	13	2	18	0	160	1	3	2	14	0	5	12	32	9	7	92	57	0
