VJcombo	Pt108_pre_Reads	Pt108_pre_Freq
TRBV10-2.TRBJ2-5	18	0.00136477367503
TRBV10-2.TRBJ2-4	1	7.5820759724e-05
TRBV10-2.TRBJ2-7	9	0.000682386837516
TRBV10-2.TRBJ2-1	350	0.0265372659034
TRBV10-2.TRBJ2-2	3	0.000227462279172
TRBV12-3.TRBJ1-3	54	0.0040943210251
TRBV28-1.TRBJ2-2	23	0.00174387747365
TRBV5-8.TRBJ1-1	2	0.000151641519448
TRBV5-8.TRBJ1-2	15	0.00113731139586
TRBV5-8.TRBJ1-5	4	0.000303283038896
TRBV5-8.TRBJ1-4	3	0.000227462279172
TRBV4-1.TRBJ1-5	128	0.00970505724467
TRBV4-1.TRBJ1-4	11	0.000834028356964
TRBV4-1.TRBJ1-1	19	0.00144059443476
TRBV4-1.TRBJ1-3	5	0.00037910379862
TRBV4-1.TRBJ1-2	68	0.00515581166123
TRBV4-1.TRBJ2-6	1	7.5820759724e-05
TRBV4-1.TRBJ2-7	29	0.002198802032
TRBV4-1.TRBJ2-4	2	0.000151641519448
TRBV4-1.TRBJ2-5	13	0.000985669876412
TRBV4-1.TRBJ2-2	19	0.00144059443476
TRBV4-1.TRBJ2-3	33	0.00250208507089
TRBV4-1.TRBJ2-1	31	0.00235044355144
TRBV14-1.TRBJ1-5	4	0.000303283038896
TRBV14-1.TRBJ1-4	2	0.000151641519448
TRBV14-1.TRBJ1-1	2	0.000151641519448
TRBV14-1.TRBJ1-3	2	0.000151641519448
TRBV14-1.TRBJ1-2	12	0.000909849116688
TRBV9-1.TRBJ1-4	11	0.000834028356964
TRBV14-1.TRBJ2-7	27	0.00204716051255
TRBV14-1.TRBJ2-4	1	7.5820759724e-05
TRBV14-1.TRBJ2-5	4	0.000303283038896
TRBV14-1.TRBJ2-2	4	0.000303283038896
TRBV9-1.TRBJ1-1	38	0.00288118886951
TRBV9-1.TRBJ1-2	59	0.00447342482372
TRBV9-1.TRBJ1-3	19	0.00144059443476
TRBV7-6.TRBJ2-2	24	0.00181969823338
TRBV7-6.TRBJ2-3	64	0.00485252862234
TRBV7-6.TRBJ2-1	8	0.000606566077792
TRBV7-6.TRBJ2-6	1	7.5820759724e-05
TRBV7-6.TRBJ2-7	23	0.00174387747365
TRBV7-6.TRBJ2-4	1	7.5820759724e-05
TRBV7-6.TRBJ2-5	9	0.000682386837516
TRBV10-2.TRBJ1-4	1	7.5820759724e-05
TRBV10-2.TRBJ1-5	2	0.000151641519448
TRBV10-2.TRBJ1-2	5	0.00037910379862
TRBV10-2.TRBJ1-1	1	7.5820759724e-05
TRBV24-1.TRBJ2-3	8	0.000606566077792
TRBV24-1.TRBJ2-2	10	0.00075820759724
TRBV24-1.TRBJ2-1	50	0.0037910379862
TRBV24-1.TRBJ2-7	23	0.00174387747365
TRBV24-1.TRBJ2-6	1	7.5820759724e-05
TRBV24-1.TRBJ2-5	28	0.00212298127227
TRBV9-1.TRBJ2-7	234	0.0177420577754
TRBV7-8.TRBJ2-1	17	0.00128895291531
TRBV7-8.TRBJ2-2	5	0.00037910379862
TRBV4-3.TRBJ2-3	15	0.00113731139586
TRBV21-1.TRBJ1-1	14	0.00106149063614
TRBV7-8.TRBJ2-4	1	7.5820759724e-05
TRBV21-1.TRBJ1-3	3	0.000227462279172
TRBV21-1.TRBJ1-2	6	0.000454924558344
TRBV21-1.TRBJ1-5	8	0.000606566077792
TRBV4-3.TRBJ2-5	2	0.000151641519448
TRBV9-1.TRBJ2-6	1	7.5820759724e-05
TRBV21-1.TRBJ2-3	2	0.000151641519448
TRBV21-1.TRBJ2-1	10	0.00075820759724
TRBV21-1.TRBJ2-6	1	7.5820759724e-05
TRBV21-1.TRBJ2-7	8	0.000606566077792
TRBV21-1.TRBJ2-4	1	7.5820759724e-05
TRBV21-1.TRBJ2-5	2	0.000151641519448
TRBV6-1.TRBJ2-4	5	0.00037910379862
TRBV6-1.TRBJ2-5	14	0.00106149063614
TRBV6-1.TRBJ2-6	8	0.000606566077792
TRBV4-3.TRBJ2-7	25	0.0018955189931
TRBV6-1.TRBJ2-1	33	0.00250208507089
TRBV6-1.TRBJ2-2	20	0.00151641519448
