	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	1	4	2	5	3	6	1	2	0	0	0	6	1	7	0	1	10	1	0	1	0	0	0	6	2	0	1	0	0	5	0	17	8	6	1	6	0	4	1	2	0	2	1	0	1	0	0	0	0	1	2	0	8
TRBJ2-5	0	9	35	44	14	23	12	2	13	0	0	2	7	4	14	4	15	10	9	0	13	3	51	0	78	3	0	2	0	4	0	4	49	13	7	4	38	0	31	10	0	0	34	18	2	11	0	1	0	28	0	3	40	14
TRBJ2-6	0	2	8	3	8	4	5	6	1	0	0	2	2	1	5	6	7	0	1	0	3	1	0	0	4	0	0	1	0	0	2	1	3	9	1	1	5	0	1	6	2	0	1	0	0	0	0	4	0	1	1	0	6	12
TRBJ2-7	8	33	141	89	51	82	127	25	29	1	1	2	151	45	105	8	80	36	23	0	18	24	43	2	685	42	1	8	1	4	1	29	277	57	45	27	54	0	234	18	5	0	82	9	8	59	0	3	0	23	6	5	17	118
TRBJ2-1	1	27	98	50	33	47	40	17	31	0	0	15	28	10	49	17	37	53	8	0	21	5	16	1	104	43	1	10	1	18	6	27	106	67	20	25	23	0	77	44	18	0	70	350	2	17	1	2	0	50	11	16	80	73
TRBJ2-2	2	15	233	32	20	23	24	2	19	0	0	8	13	4	15	9	10	12	24	0	5	2	13	0	44	152	0	0	1	6	4	0	63	31	1	4	45	1	26	19	3	0	25	3	0	5	1	4	3	10	20	8	17	14
TRBJ2-3	0	24	37	20	18	14	28	15	33	0	0	10	33	14	37	7	14	22	64	0	13	7	21	2	85	11	0	2	4	4	2	4	65	30	22	8	41	5	40	5	1	0	18	0	6	8	0	2	0	8	5	6	34	28
TRBJ1-6	0	0	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	2	1	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2
TRBJ1-5	0	8	48	60	43	50	19	14	128	0	1	2	27	34	35	1	10	68	6	0	18	7	5	0	43	295	0	8	2	4	1	1	57	44	15	4	21	0	11	7	2	0	86	2	0	3	0	2	1	31	8	4	5	41
TRBJ1-4	0	2	12	12	7	30	19	3	11	0	0	0	15	4	23	0	5	5	794	0	5	4	14	0	43	1	0	0	0	3	1	0	20	12	5	2	33	1	11	3	2	0	22	1	2	7	0	0	1	1	0	6	4	16
TRBJ1-3	0	5	5	33	16	41	36	6	5	0	1	0	24	7	18	0	20	5	2	0	1	1	5	0	43	2	0	3	0	1	0	1	15	54	1	2	5	0	19	5	2	0	11	0	1	3	0	0	0	1	0	8	10	5
TRBJ1-2	0	36	57	41	40	71	143	14	68	0	0	3	33	29	24	3	42	25	8	0	8	24	28	9	71	15	0	6	1	15	0	1	86	40	5	12	78	0	59	13	4	1	55	5	5	37	0	0	0	33	2	3	31	20
TRBJ1-1	2	43	58	56	29	43	80	7	19	0	0	7	66	15	15	18	12	57	8	2	31	13	6	1	79	14	0	14	0	2	10	6	73	58	7	2	91	2	38	10	3	0	186	1	2	14	0	0	14	36	8	5	55	67
