	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	3	12	1	3	11	2	1	5	0	1	1	7	0	1	0	1	3	0	0	0	6	0	7	0	0	2	3	4	0	0	0	35	3	0	1	5	0	4	0	0	7	0	4	0	2	1	0	0	1	0	0	0	2
TRBJ2-5	0	32	30	16	22	28	9	55	24	0	1	1	33	7	0	10	29	27	14	13	8	90	0	71	15	0	5	8	3	0	2	4	95	41	12	12	10	1	56	79	5	152	0	99	10	1	24	0	1	8	4	12	15	17
TRBJ2-6	0	1	17	9	2	6	0	7	3	1	0	0	8	0	0	7	6	5	1	6	1	8	0	10	1	0	0	2	1	1	3	0	19	3	0	1	4	0	9	5	8	13	3	3	0	1	1	0	0	1	0	0	11	5
TRBJ2-7	0	72	113	180	41	169	345	51	146	0	1	7	47	35	1	67	95	155	21	45	34	150	2	115	61	0	14	44	3	0	3	22	299	288	29	15	359	0	59	86	4	92	0	167	59	5	36	5	3	9	9	3	12	69
TRBJ2-1	0	47	59	70	17	44	72	62	75	0	0	12	32	5	0	54	33	82	28	27	12	82	1	125	16	1	12	9	10	0	9	16	270	59	59	11	65	0	46	38	112	56	0	94	33	8	9	1	1	16	1	9	51	18
TRBJ2-2	1	8	40	82	73	31	11	4	22	0	0	48	31	7	0	29	15	15	16	6	4	39	1	47	41	0	9	11	4	0	0	9	42	63	16	4	17	0	20	232	1	19	0	28	1	3	11	15	1	10	12	12	98	32
TRBJ2-3	0	21	60	50	28	60	15	13	14	0	0	6	45	27	0	26	9	56	13	29	42	82	0	168	5	0	9	6	1	0	4	2	89	31	12	10	44	2	56	37	4	22	0	42	3	7	26	3	3	17	6	9	34	21
TRBJ1-6	0	34	70	13	21	24	6	3	6	0	0	4	32	3	0	1	2	31	4	0	2	21	0	27	4	0	3	29	1	0	0	0	18	8	191	5	41	1	42	17	1	7	0	65	0	0	3	0	1	68	0	0	2	7
TRBJ1-5	1	15	296	57	28	115	17	18	29	0	0	36	11	10	0	6	13	35	2	9	5	65	0	15	20	0	2	8	0	0	0	0	209	137	7	4	14	0	15	30	3	8	0	230	3	0	27	2	0	45	9	2	8	14
TRBJ1-4	1	11	16	22	50	58	74	14	7	0	0	0	7	3	1	3	6	12	3	1	5	24	0	17	3	0	5	4	2	0	1	0	34	9	10	3	6	0	5	21	10	17	0	52	0	2	16	0	1	0	6	3	0	12
TRBJ1-3	0	19	24	5	11	29	1	4	1	1	0	0	10	2	1	8	18	0	1	3	1	20	0	31	4	0	4	15	4	0	0	2	92	6	8	3	9	0	20	8	1	9	0	20	5	1	1	1	0	0	0	7	9	7
TRBJ1-2	1	44	206	129	25	90	10	52	35	0	2	1	184	11	0	20	31	38	1	20	17	52	0	86	19	1	1	6	2	0	2	0	164	102	13	27	43	0	22	68	6	40	1	71	2	1	4	0	3	9	0	3	136	28
TRBJ1-1	0	20	284	22	292	310	18	16	12	2	2	12	51	20	0	34	18	732	56	8	11	47	0	59	18	6	3	279	8	0	0	0	84	79	3	10	10	0	39	65	5	22	1	45	23	1	11	8	3	5	2	0	113	21
