	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	48	16	118	21	0	12	17	0	0	0	0	52	8	1	3	6	45	12	0	9	7	18	0	7	24	0	16	3	0	2	2	141	15	11	3	70	1	11	12	70	1	13	0	44	64	2	1	5	0	0	0	2	4	17	18	15
TRBJ2-5	0	59	146	232	0	35	69	46	1	0	3	263	43	10	22	56	159	35	0	146	14	162	3	164	52	0	23	53	19	6	40	405	168	98	46	182	2	84	347	659	14	140	0	140	183	8	12	88	0	11	5	75	138	58	25	48
TRBJ2-6	0	24	59	56	0	10	13	5	0	0	1	22	7	0	2	21	13	6	0	44	2	55	1	27	36	0	4	4	6	1	1	53	19	3	6	16	0	24	23	25	3	15	0	59	38	1	1	8	0	0	0	5	54	8	5	16
TRBJ2-7	23	967	605	1225	2	187	333	56	7	4	22	1284	256	4	83	391	806	630	2	454	111	630	6	928	426	0	67	156	404	46	99	2316	452	240	276	664	3	447	2107	511	210	321	0	1387	651	82	36	690	0	231	12	118	524	100	69	240
TRBJ2-1	1	1522	515	407	0	40	234	23	0	1	27	354	306	1	79	129	494	143	0	76	42	468	1	480	628	1	31	36	15	28	28	833	243	274	48	196	5	443	762	693	54	152	2	476	339	30	23	109	5	6	2	130	80	69	193	517
TRBJ2-2	10	183	179	338	0	105	67	10	0	0	49	224	61	1	60	90	316	60	3	40	15	177	2	295	69	4	18	33	187	8	35	286	145	87	33	321	0	55	1258	226	12	93	0	174	124	10	14	101	0	3	5	76	51	94	544	138
TRBJ2-3	9	93	201	225	0	34	115	26	0	0	17	380	61	0	52	216	1454	43	0	102	44	251	6	231	162	0	46	90	109	11	3	546	166	122	199	389	3	134	265	345	49	95	80	194	167	34	28	80	1	18	3	207	91	45	127	132
TRBJ1-6	2	4	71	247	0	1	43	8	0	0	31	96	22	0	3	41	53	14	0	7	3	188	1	67	14	0	1	4	3	3	1	198	60	5	11	273	0	15	111	28	63	43	0	2	45	5	0	28	0	2	0	1	39	9	1	29
TRBJ1-5	0	23	320	354	0	7	70	148	0	0	6	195	334	0	1	158	293	36	0	110	63	194	6	125	116	1	49	292	32	45	20	453	136	66	13	46	6	47	131	263	4	35	0	208	187	7	1	60	0	14	5	35	42	66	99	144
TRBJ1-4	0	42	163	660	0	14	133	5	0	1	1	72	27	0	4	67	117	50	0	135	11	62	7	51	64	0	8	33	5	6	0	86	46	80	19	92	9	22	137	40	4	32	0	61	98	20	1	29	0	9	1	7	29	115	15	35
TRBJ1-3	0	95	76	22	0	26	59	2	0	0	1	91	44	0	4	45	888	12	0	12	17	82	0	42	17	0	44	8	19	2	3	63	26	11	19	44	3	39	140	194	5	21	0	59	95	2	0	18	0	9	0	10	29	5	34	54
TRBJ1-2	0	757	295	4542	0	107	274	7	0	0	11	433	135	0	1	1365	594	108	2	84	31	251	3	324	126	2	126	111	32	39	0	800	224	192	58	210	1	92	161	549	39	174	1	330	383	27	7	53	0	14	85	85	446	57	31	185
TRBJ1-1	0	206	185	427	0	74	161	267	0	1	6	234	179	0	9	110	160	27	3	174	36	173	6	251	145	0	21	31	8	21	5	601	161	77	53	307	0	90	184	253	32	220	0	284	289	25	8	76	0	19	61	23	54	40	101	157
