	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	238	4	562	265	52	30	28	7	0	0	3	19	2	0	5	13	14	1	0	13	1	19	0	26	17	0	2	8	2	1	0	85	7	9	4	100	0	0	0	7	5	2	6	9	0	36	2	1	6	0	0	2	5	2	15	4	12
TRBJ2-5	2	69	101	215	73	169	52	49	0	0	4	203	30	0	24	46	90	90	0	134	9	101	4	155	80	0	36	28	12	2	32	448	174	493	34	232	1	0	0	90	289	19	33	90	0	162	8	11	35	0	3	4	36	10	53	19	49
TRBJ2-6	0	3	30	45	72	19	7	19	0	0	4	15	24	2	3	14	14	0	0	22	0	21	0	34	31	0	3	4	69	0	0	34	17	4	1	7	0	1	0	16	14	10	3	13	0	8	3	1	26	1	3	0	4	0	2	8	7
TRBJ2-7	14	2128	1332	3695	1313	314	398	336	5	2	14	2256	183	2	36	305	1570	242	1	178	74	823	5	589	294	1	39	59	253	36	47	2206	165	275	752	349	5	0	1	225	1753	147	85	339	0	559	47	31	603	5	13	10	132	39	67	52	219
TRBJ2-1	18	1331	407	634	1692	340	641	103	2	0	26	299	445	7	95	135	293	362	0	154	18	2004	4	332	177	2	25	33	17	20	27	946	245	127	62	177	1	0	1	973	1100	64	66	158	0	220	14	10	66	0	4	2	133	29	79	79	80
TRBJ2-2	1	95	188	299	105	200	53	35	0	1	108	1102	67	0	71	117	279	75	1	67	32	91	2	223	78	0	11	29	641	5	40	685	120	63	34	107	2	0	0	86	1355	55	137	67	0	181	12	0	67	1	2	1	99	10	56	284	148
TRBJ2-3	3	81	219	212	143	118	169	88	0	0	30	284	56	0	42	458	205	101	1	125	37	104	4	204	74	0	18	86	26	7	4	374	83	151	376	357	6	0	0	63	233	33	75	57	1	102	52	3	43	1	16	3	302	22	25	86	97
TRBJ1-6	0	1	19	82	0	19	31	12	2	0	17	118	14	0	8	33	36	8	0	10	1	33	0	17	9	0	6	2	1	2	0	104	20	21	6	179	0	0	0	29	38	0	115	12	1	40	3	0	13	0	0	0	0	6	4	0	31
TRBJ1-5	0	20	370	313	142	517	61	31	0	0	34	124	212	0	1	153	232	21	0	22	177	107	8	95	75	0	29	799	40	124	6	479	44	25	129	42	1	0	0	26	89	5	7	117	0	132	3	0	34	0	4	2	18	203	107	30	116
TRBJ1-4	0	38	74	345	39	29	34	16	0	0	0	184	49	0	0	36	40	52	1	47	2	33	1	73	19	0	3	119	1	17	0	77	23	139	5	29	3	0	0	11	81	2	0	10	0	66	9	1	11	0	1	6	7	2	140	5	23
TRBJ1-3	0	12	44	23	80	241	40	19	0	0	1	131	36	0	3	67	2348	8	0	11	22	43	2	25	17	0	32	11	7	5	1	57	55	12	18	16	0	0	0	34	249	49	7	19	0	42	3	1	33	0	3	2	34	2	4	8	79
TRBJ1-2	2	736	189	6565	343	516	272	46	1	1	9	297	106	0	5	156	388	213	0	159	17	162	1	240	138	0	115	85	13	13	1	523	182	362	65	162	5	0	0	87	80	31	54	139	2	254	5	9	60	1	2	126	135	5	38	35	238
TRBJ1-1	1	95	192	217	217	203	275	37	0	0	8	403	173	0	9	92	164	38	0	190	38	121	3	137	194	2	7	70	10	12	5	602	671	147	65	155	0	0	0	95	162	65	54	119	1	286	21	17	32	0	0	48	20	205	76	38	74
