	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV10-3	TRBV4-1	TRBV6-9	TRBV13-1	TRBV6-5	TRBV7-3	TRBV7-2	TRBV11-3	TRBV6-1	TRBV7-7	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-1	TRBV5-8	TRBV21-1	TRBV30-1	TRBV11-2	TRBV12-5	TRBV6-6	TRBV6-2	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-4	TRBV2-1	TRBV7-9	TRBV11-1	TRBV7-8	TRBV4-3	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV18-1
TRBJ2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	1	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-5	1	4	3	1	1	1	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	1	4	3	11	0	0	0	4	0	3	4	1	1	0	0	0	0	1	0
TRBJ2-6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1
TRBJ2-7	7	4	10	5	3	1	2	0	0	2	1	1	0	3	0	2	0	0	0	11	0	0	11	0	0	0	3	37	11	2	7	2	0	3	0	4	5	1	2	3	33	5	0	0	5
TRBJ2-1	0	3	1	2	2	2	0	0	0	0	4	1	3	3	2	1	0	0	1	1	0	1	3	0	1	0	5	4	4	1	0	8	0	14	0	1	9	1	3	4	3	1	1	0	2
TRBJ2-2	0	5	12	2	1	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	4	0	0	0	0	1	23	2	1	0	0	1	0	4	1	0	0	0	2	0	0	0	0
TRBJ2-3	0	3	1	3	1	1	0	0	2	0	2	1	3	0	0	0	0	0	0	1	1	1	2	1	0	2	0	8	3	0	3	3	2	9	0	1	1	0	1	0	0	0	1	0	0
TRBJ1-6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TRBJ1-5	0	1	2	0	0	0	2	0	2	1	0	1	0	10	0	0	1	2	0	0	0	2	7	3	1	2	5	2	2	0	0	2	0	1	0	0	4	0	2	0	1	0	0	0	0
TRBJ1-4	0	0	2	5	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	2	0	0	0	0	0	3	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
TRBJ1-3	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	2	0	0	0	0	1
TRBJ1-2	0	1	1	13	4	0	2	1	3	8	0	2	0	0	0	0	2	0	0	3	0	3	5	3	0	0	0	9	4	0	0	6	0	2	0	11	2	1	0	0	1	0	0	0	0
TRBJ1-1	0	7	11	5	11	1	1	0	5	18	1	4	0	0	0	3	6	0	1	15	0	0	2	3	0	0	3	6	4	0	0	1	0	1	0	8	0	0	1	3	1	0	1	0	0
