	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV10-2	TRBV4-3	TRBV4-1	TRBV13-1	TRBV6-5	TRBV7-3	TRBV7-2	TRBV11-3	TRBV11-2	TRBV7-7	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-2	TRBV5-1	TRBV5-8	TRBV21-1	TRBV30-1	TRBV6-1	TRBV12-5	TRBV6-6	TRBV6-2	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV2-1	TRBV4-2	TRBV11-1	TRBV10-3	TRBV7-8	TRBV23-1	TRBV7-5	TRBV24-1	TRBV6-4	TRBV25-1	TRBV18-1
TRBJ2-4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	39	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-5	1	0	2	3	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1	3	0	3	2	0	0	1	1	3	4	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	1
TRBJ2-6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
TRBJ2-7	1	8	4	8	0	12	1	1	1	1	3	2	4	2	0	4	0	2	0	9	1	2	2	0	0	0	2	33	3	2	10	3	0	1	7	4	2	0	7	1	0	0	38	0	0	4
TRBJ2-1	0	3	3	4	2	3	2	0	2	2	0	2	1	1	0	0	1	0	0	10	0	0	2	3	0	0	1	1	6	0	0	22	0	4	0	1	2	0	0	1	0	1	6	1	1	1
TRBJ2-2	0	2	1	2	2	1	0	0	1	1	0	0	2	0	0	0	0	1	0	1	0	0	2	2	0	0	2	2	14	0	1	3	0	1	1	1	1	0	0	0	0	0	0	0	0	2
TRBJ2-3	0	2	1	1	0	0	0	0	0	1	4	4	1	0	0	0	0	1	0	2	1	0	2	1	0	0	0	7	3	1	0	0	1	6	4	2	0	0	0	0	0	0	0	0	0	0
TRBJ1-6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	2	0	0	4	0	4	0	0	1	0	0	0	0	0	0	0	0	0
TRBJ1-5	0	3	0	4	0	0	2	0	0	0	1	0	0	0	0	2	2	0	0	1	0	1	1	4	0	0	3	1	3	1	0	4	0	0	3	0	0	0	0	1	0	0	0	2	0	1
TRBJ1-4	0	2	1	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	3	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-3	0	2	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	4	0	0	1	0	1	0	0	1	0	0	0
TRBJ1-2	2	2	0	7	1	2	2	0	9	0	1	4	0	0	1	2	0	2	1	2	0	0	0	2	0	2	1	9	0	1	0	3	0	0	1	0	0	2	0	1	1	0	1	1	2	2
TRBJ1-1	0	9	2	0	0	2	0	6	3	2	2	1	3	0	5	6	0	0	0	2	0	0	3	5	0	1	1	3	3	1	1	3	0	1	2	4	9	1	0	5	0	0	2	0	1	2
