	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV10-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV4-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	17	17	310	0	5	5	14	0	0	0	25	8	0	3	6	18	1	0	10	9	9	0	0	49	2	0	4	6	14	1	0	52	19	24	0	0	17	0	0	8	10	16	5	1	0	16	18	4	18	8	0	0	2	6	11	3	5	10
TRBJ2-5	1	65	124	133	1	43	18	25	0	2	7	104	32	1	42	79	92	53	0	43	10	103	6	0	211	40	1	24	29	6	15	20	349	82	29	0	82	123	4	2	81	115	272	44	80	1	64	203	9	18	39	1	3	1	41	14	22	68	76
TRBJ2-6	3	7	43	92	0	4	4	4	0	0	0	15	5	0	9	32	12	2	0	4	1	7	0	0	42	10	0	2	1	2	0	3	24	7	4	0	10	10	0	0	7	14	21	6	10	0	83	16	3	4	4	0	1	0	6	8	3	36	19
TRBJ2-7	4	174	958	509	0	57	106	377	3	0	10	362	125	1	118	382	419	239	6	180	57	302	10	1	955	198	2	51	128	47	16	14	874	187	94	0	68	505	1	0	1410	333	1048	85	81	1	650	270	188	70	249	2	23	4	173	47	49	155	196
TRBJ2-1	3	133	310	472	0	26	47	1657	0	0	21	127	50	1	121	139	180	127	2	92	53	163	11	0	511	99	0	25	121	13	9	25	450	160	173	0	849	149	1	0	114	482	339	58	77	1	396	617	108	21	57	2	8	2	247	32	31	305	110
TRBJ2-2	1	124	198	139	0	6	34	18	0	0	23	119	45	0	59	377	90	71	0	60	5	74	1	0	195	42	20	6	293	11	17	19	205	95	21	0	22	177	0	0	51	182	133	35	35	0	204	127	23	11	30	1	15	0	52	26	4	87	87
TRBJ2-3	7	73	112	292	0	16	63	46	1	0	15	111	44	1	46	222	80	60	0	70	20	164	2	0	310	49	4	18	36	10	11	28	298	106	186	0	41	124	1	0	145	448	108	18	60	0	146	192	48	15	51	0	5	1	112	22	22	92	76
TRBJ1-6	0	0	197	63	0	0	47	19	0	0	2	76	18	0	21	39	34	136	0	19	2	43	1	0	49	10	0	10	53	3	7	3	42	28	28	0	41	61	2	0	10	43	54	4	18	0	15	39	5	1	12	0	8	5	3	10	13	8	31
TRBJ1-5	5	197	277	129	0	4	77	106	0	1	7	107	44	3	3	145	112	34	0	23	10	126	1	0	62	71	0	11	49	16	9	0	233	194	62	0	19	190	0	0	60	70	165	10	13	1	363	371	113	3	31	0	11	5	52	5	9	16	90
TRBJ1-4	3	17	95	50	0	5	39	21	0	0	2	76	16	1	12	89	29	17	1	38	22	36	1	0	88	21	0	25	34	12	6	1	246	50	40	0	9	45	0	0	14	42	165	1	19	0	84	54	5	5	12	0	2	0	9	6	17	5	36
TRBJ1-3	1	24	58	148	0	4	37	12	0	1	21	141	26	0	21	70	18	19	0	59	8	62	2	0	75	12	0	237	28	2	2	3	151	66	9	0	4	88	0	0	14	345	121	3	12	1	37	98	10	0	25	0	2	0	4	2	110	5	55
TRBJ1-2	2	150	1212	210	0	16	223	87	0	0	25	259	153	3	57	179	242	56	1	156	38	157	6	0	474	85	0	34	234	26	14	1	348	239	137	0	44	214	11	0	249	249	394	125	103	0	314	365	121	14	105	5	9	0	114	36	68	54	172
TRBJ1-1	2	175	788	231	0	31	87	833	0	0	36	193	81	0	549	192	128	933	1	85	50	171	2	0	452	90	0	17	331	13	25	11	374	150	92	2	48	425	0	0	168	392	642	51	178	0	186	187	40	16	723	0	8	13	30	94	42	395	204
