	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	2	42	33	80	31	17	19	11	0	0	2	56	8	0	12	26	34	5	0	7	2	19	1	54	14	0	6	18	8	2	0	107	39	13	0	5	47	0	0	16	23	26	1	6	0	0	38	1	0	7	12	0	3	0	9	12	3	36	15
TRBJ2-5	2	134	183	245	161	23	45	52	0	2	7	162	59	0	73	137	170	96	0	108	13	189	3	511	67	0	68	86	19	32	37	533	135	58	0	163	271	6	1	101	205	249	106	138	0	1	267	27	0	22	94	0	2	3	94	37	51	172	153
TRBJ2-6	0	23	52	103	69	9	8	1	0	0	11	25	4	1	14	73	17	8	0	16	1	23	0	97	15	0	0	9	5	1	12	37	22	11	0	6	52	0	0	38	30	32	7	23	0	0	42	2	1	9	10	0	3	0	8	6	7	24	24
TRBJ2-7	5	408	1407	948	1060	293	307	151	3	0	51	616	254	8	175	512	526	484	6	182	116	543	23	1649	332	4	121	289	56	56	38	1345	401	175	0	162	1249	12	5	995	597	1076	95	232	4	0	581	128	0	156	282	1	49	4	167	407	160	407	494
TRBJ2-1	3	199	385	407	405	177	99	48	2	0	53	261	101	3	176	302	232	164	0	119	32	264	14	671	158	4	24	301	32	32	56	834	325	168	0	361	394	2	0	160	766	312	88	129	1	0	342	21	0	38	164	2	7	4	311	314	44	750	163
TRBJ2-2	5	121	225	320	230	86	67	66	1	1	53	200	70	3	144	284	161	120	0	100	13	190	3	452	91	6	18	230	18	32	49	417	209	46	1	37	217	1	0	121	255	180	41	101	0	0	278	27	0	16	118	0	26	4	115	51	26	181	183
TRBJ2-3	5	189	232	669	192	80	132	58	1	0	30	159	55	0	113	338	175	100	1	110	21	250	10	548	78	3	41	115	25	37	51	687	281	216	0	41	262	1	0	436	712	204	25	125	1	0	287	28	0	27	148	1	4	2	140	99	50	196	145
TRBJ1-6	0	6	260	80	12	4	63	11	2	0	5	125	28	0	92	54	76	25	0	46	12	85	1	130	22	1	8	110	2	6	3	113	54	23	0	28	241	2	0	18	89	72	4	21	1	0	86	7	0	14	23	1	1	0	5	39	28	34	76
TRBJ1-5	15	108	485	262	675	152	125	30	0	0	30	186	116	5	14	284	266	108	1	76	25	280	3	159	120	1	40	141	72	24	7	781	339	91	0	25	445	8	0	203	132	231	24	46	2	0	900	23	0	9	107	1	12	12	93	161	35	47	220
TRBJ1-4	4	55	116	77	241	16	75	6	1	0	5	73	37	1	20	205	50	30	0	120	17	92	7	205	49	1	32	78	15	12	7	1050	85	46	0	24	97	1	0	35	134	117	10	56	1	0	93	14	0	4	48	0	2	2	25	34	19	10	96
TRBJ1-3	0	25	92	303	79	19	43	10	0	2	22	158	38	3	28	185	26	38	1	32	7	123	0	193	36	1	30	54	7	14	11	219	133	32	0	25	126	1	0	33	95	342	16	24	1	0	77	8	0	3	56	2	4	3	9	43	24	27	83
TRBJ1-2	8	336	708	624	495	202	292	33	0	1	41	446	196	1	109	349	266	83	2	233	65	410	17	704	198	1	54	412	55	63	1	710	477	271	0	140	685	25	0	190	364	769	397	183	1	0	1172	41	0	31	211	42	10	22	120	101	112	155	313
TRBJ1-1	2	240	676	483	352	84	151	45	0	1	50	379	131	2	395	292	243	384	3	170	69	301	5	944	196	0	34	323	29	70	25	725	427	137	1	65	1390	4	4	231	643	1041	90	610	1	0	354	55	0	46	2002	0	20	17	50	740	57	649	602
