	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	29	64	61	0	6	11	238	0	1	37	45	39	0	1	47	63	0	2	62	6	29	10	37	7	0	2	7	9	7	3	114	180	54	0	4	45	0	0	22	40	30	45	24	0	18	97	15	0	23	0	15	0	6	6	7	2	26
TRBJ2-5	2	105	383	815	0	45	109	301	0	2	22	385	113	4	46	340	364	311	3	111	96	288	11	381	86	0	23	58	40	37	58	678	245	151	0	743	653	5	0	186	371	463	57	226	5	141	294	60	11	110	1	3	1	49	71	142	38	510
TRBJ2-6	0	15	72	48	0	9	30	68	0	0	10	36	9	0	12	36	36	22	0	29	9	35	0	58	15	0	6	16	8	1	1	46	50	60	0	22	64	1	0	11	1028	60	6	25	0	11	41	6	9	39	1	4	0	6	8	9	8	31
TRBJ2-7	10	383	1246	960	0	361	540	450	3	8	43	9852	452	4	91	852	815	259	8	709	204	722	17	965	470	3	149	186	170	47	21	1552	755	208	2	336	1492	5	3	586	1130	1979	349	508	4	176	1504	559	55	561	5	25	24	78	353	171	87	532
TRBJ2-1	19	287	1464	451	0	102	282	391	6	0	48	1081	150	1	155	279	357	193	1	167	110	436	38	455	197	3	59	218	98	50	22	1136	652	225	0	52	796	3	0	321	840	730	529	215	0	403	362	600	27	502	5	24	15	147	660	380	171	247
TRBJ2-2	12	69	1159	667	1	664	92	388	3	4	32	1149	61	2	86	226	209	129	0	140	64	291	8	275	115	0	19	90	28	40	42	357	263	151	1	405	759	1	0	157	524	465	39	180	1	63	350	210	8	189	2	12	15	55	124	58	89	107
TRBJ2-3	1	164	391	241	0	60	273	487	3	6	69	567	215	0	212	239	380	163	0	102	53	383	7	441	304	1	36	122	47	24	26	1628	329	84	0	71	762	2	0	255	938	805	173	157	1	119	298	191	30	247	0	5	1	149	191	151	93	189
TRBJ1-6	2	16	943	344	0	72	186	115	1	4	16	598	108	1	80	281	205	121	4	391	41	677	8	274	92	0	27	114	16	20	13	1797	871	64	1	59	457	0	0	333	272	444	205	100	1	188	237	94	9	162	26	8	9	14	25	47	77	169
TRBJ1-5	5	49	2289	263	0	33	288	189	2	2	60	456	185	0	13	594	485	41	2	100	64	283	4	97	238	5	88	155	34	63	3	448	414	104	0	11	413	12	0	60	197	385	20	127	3	87	1005	121	0	204	0	22	16	43	61	32	59	261
TRBJ1-4	13	66	294	155	0	21	67	2849	0	0	5	266	120	1	2	171	90	111	0	57	46	111	4	198	116	0	18	61	48	9	8	243	104	183	0	24	136	0	0	68	158	250	17	169	0	59	1155	42	4	351	1	7	3	35	8	107	27	108
TRBJ1-3	0	609	298	148	0	23	49	91	0	0	8	150	56	1	17	124	28	153	0	101	48	76	2	194	57	12	20	40	14	9	1	139	138	67	0	20	230	0	0	38	154	178	76	50	0	35	146	52	4	87	1	3	2	9	3	60	44	81
TRBJ1-2	1	424	996	654	0	78	177	418	6	3	40	1866	260	20	20	826	536	230	17	460	178	387	18	564	375	0	104	662	133	148	6	1304	771	522	0	169	1468	1	0	357	768	1094	131	411	0	168	821	79	27	416	1	374	19	77	36	166	65	377
TRBJ1-1	11	440	1541	557	0	234	291	324	1	2	38	1123	484	3	608	466	591	335	0	147	85	399	11	586	266	3	86	163	49	299	23	840	451	99	0	178	1130	14	0	435	381	2044	411	212	2	72	481	93	51	176	6	35	25	149	267	301	108	293
