	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV26-or09_02	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	147	22	31	58	1	6	85	0	0	1	10	6	0	2	30	87	3	1	59	2	14	9	41	4	0	1	5	5	1	0	39	30	39	0	0	2	11	0	6	79	19	13	12	0	44	16	0	7	0	1	1	2	0	3	2	17
TRBJ2-5	1	90	174	341	59	17	41	100	1	0	7	169	76	1	16	120	137	212	1	43	37	148	0	247	50	0	8	30	11	38	20	386	111	79	0	0	235	389	0	68	200	243	37	93	0	176	35	5	51	0	1	0	16	49	74	14	411
TRBJ2-6	0	8	24	10	1	10	8	53	0	0	4	16	5	0	13	18	20	13	0	13	2	10	3	25	12	0	2	4	2	0	1	20	24	41	0	0	9	55	0	5	589	35	4	7	0	15	4	0	13	0	5	0	2	2	2	7	18
TRBJ2-7	0	172	555	457	80	134	277	169	5	2	25	1474	142	1	27	306	273	100	1	357	73	372	4	366	213	0	76	80	49	13	16	695	312	108	0	1	99	610	2	177	607	704	185	159	0	723	360	28	201	0	11	11	39	361	134	28	235
TRBJ2-1	4	158	709	245	177	37	114	241	11	0	33	339	44	0	51	142	131	74	2	371	32	192	19	179	100	5	5	348	34	29	14	565	201	75	0	0	30	501	0	223	387	468	140	81	0	116	409	15	260	1	16	4	44	188	90	78	131
TRBJ2-2	2	37	509	618	38	521	27	139	1	0	23	258	29	0	21	116	121	52	0	51	24	105	4	112	46	1	10	21	14	17	22	225	83	43	0	0	17	351	2	35	211	172	18	84	0	135	100	2	53	1	2	2	21	55	13	28	53
TRBJ2-3	1	95	152	130	41	23	248	515	3	3	30	253	101	0	32	127	81	96	0	129	13	148	1	231	122	0	11	79	10	16	28	982	128	31	0	0	19	441	0	162	533	390	78	83	0	162	64	15	79	0	5	10	58	84	47	41	104
TRBJ1-6	0	5	311	265	33	14	69	39	0	0	3	245	24	0	29	180	93	73	0	202	11	374	3	86	40	0	8	48	5	1	4	759	227	32	0	1	13	145	0	248	80	275	67	27	0	112	33	2	81	12	11	4	23	6	24	29	89
TRBJ1-5	4	47	1122	105	50	4	153	107	1	0	19	95	102	1	2	315	210	9	0	33	16	123	1	60	55	0	24	55	18	36	3	232	164	38	0	0	29	151	4	22	283	174	6	23	1	453	78	1	65	2	5	8	24	24	8	3	130
TRBJ1-4	0	45	169	63	30	5	21	722	1	1	1	65	122	0	1	60	18	75	0	18	10	38	1	99	51	0	6	13	17	0	6	136	66	88	0	0	5	98	1	61	40	94	7	63	0	236	22	0	176	1	1	0	6	1	515	13	85
TRBJ1-3	1	296	79	80	12	13	6	49	0	0	0	67	28	1	8	79	13	96	0	37	3	39	0	42	24	9	13	16	3	4	2	60	73	18	0	0	8	234	1	9	56	80	75	10	0	32	12	0	36	0	1	3	3	2	22	13	29
TRBJ1-2	0	178	432	533	132	38	53	158	0	0	21	731	141	10	5	282	230	92	8	318	62	181	2	202	148	0	34	1089	33	72	0	593	266	328	1	0	56	416	0	186	306	412	37	162	0	298	48	8	126	2	77	13	21	10	351	42	164
TRBJ1-1	0	271	422	398	47	53	137	150	7	0	7	354	186	0	111	159	268	168	2	61	71	290	5	244	157	0	71	59	15	128	1	430	222	38	0	0	52	443	7	212	199	698	125	82	0	246	47	9	115	6	21	6	34	168	175	40	169
