	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-1	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	2	5	0	0	0	0	0	4	0	0	1	2	56	0	0	0	1	0	1	0	4	4	0	0	0	0	1	0	4	1	0	0	12	3	3	2	2	0	1	10	0	0	0	0	0	0	0	0	0	0
TRBJ2-5	0	11	6	25	8	0	2	6	7	0	0	0	11	5	1	0	7	4	3	6	4	5	27	0	0	0	1	5	1	29	3	5	2	7	15	21	10	12	0	8	20	1	0	7	0	0	0	1	0	1	7
TRBJ2-6	0	0	1	7	2	0	3	7	0	0	0	1	8	1	0	0	0	3	0	0	0	2	4	0	0	1	1	1	0	1	2	0	0	1	1	0	0	2	0	11	29	0	0	0	0	0	1	0	0	0	3
TRBJ2-7	0	71	23	102	109	0	193	9	16	0	0	1	65	23	0	3	23	25	14	11	11	22	47	0	4	10	0	1	0	134	17	9	8	22	25	27	52	30	0	28	30	5	5	17	9	1	0	1	5	4	29
TRBJ2-1	1	82	45	79	10	0	14	5	14	0	0	3	46	5	0	3	14	5	2	2	0	16	24	0	0	16	0	0	1	49	22	4	7	17	21	17	8	4	0	14	8	3	1	12	0	0	3	3	5	6	10
TRBJ2-2	0	1	21	4	7	0	1	5	11	0	0	5	8	1	0	2	6	2	6	3	0	8	25	0	2	1	1	1	3	17	10	5	1	3	5	28	4	4	0	9	13	1	0	1	0	0	1	7	3	11	13
TRBJ2-3	0	4	5	8	18	0	2	1	13	1	0	10	25	3	0	291	5	1	6	7	10	5	20	0	1	17	1	1	0	45	29	3	2	24	8	19	7	9	0	22	24	4	3	1	1	0	13	1	1	6	5
TRBJ1-6	0	2	18	16	8	0	0	1	3	0	0	0	5	2	0	0	3	3	6	6	0	6	19	0	0	37	2	1	0	17	18	7	7	7	10	10	1	6	0	14	12	3	0	13	0	1	0	1	0	5	8
TRBJ1-5	0	0	37	33	142	1	2	5	14	0	0	3	17	10	0	1	2	21	1	11	6	7	13	2	3	8	1	1	0	41	16	2	1	20	2	6	3	5	1	34	73	2	0	11	0	3	1	1	0	3	5
TRBJ1-4	0	3	7	2	9	0	20	2	7	0	0	8	9	4	0	0	3	0	3	5	0	5	19	0	1	5	2	0	0	11	39	1	0	8	47	27	3	6	0	15	20	3	2	4	0	0	1	1	4	2	1
TRBJ1-3	5	5	10	9	8	0	66	0	9	0	0	0	9	5	0	0	1	0	12	1	3	1	11	0	1	2	0	0	0	11	7	4	1	33	6	6	0	8	0	7	15	0	0	4	0	0	0	3	0	2	3
TRBJ1-2	0	185	48	17	98	0	11	16	15	1	1	10	132	5	0	3	21	58	9	6	2	298	51	0	4	14	1	1	0	83	30	20	34	33	37	27	6	43	0	77	57	5	0	18	1	1	87	5	9	5	31
TRBJ1-1	0	16	568	68	46	0	4	74	8	0	0	12	27	8	0	2	18	9	4	22	2	20	65	0	4	21	0	6	0	67	71	20	13	27	25	35	12	14	0	43	54	8	5	21	2	0	2	5	16	2	23
