	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV10-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV4-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	7	14	3	7	0	3	3	0	0	8	3	0	1	16	8	0	0	7	0	16	0	14	4	0	4	3	0	0	0	13	11	4	1	5	0	0	1	6	8	3	6	0	0	12	5	1	3	0	0	0	2	1	1	1	2
TRBJ2-5	1	22	80	72	45	6	24	32	0	5	77	25	1	34	26	70	63	0	30	11	128	3	77	15	0	6	35	6	28	32	192	73	25	45	49	0	0	36	91	74	14	42	0	0	91	29	18	22	0	2	1	46	2	10	54	44
TRBJ2-6	0	8	19	21	11	0	11	11	0	62	30	4	0	6	17	8	8	0	4	6	8	1	18	1	0	0	5	2	0	4	12	13	3	4	17	0	0	6	6	3	1	4	0	0	10	3	0	1	0	1	0	4	1	1	19	16
TRBJ2-7	0	155	180	139	151	27	107	108	0	12	154	102	0	158	177	266	127	1	104	41	323	12	141	112	0	75	85	19	7	65	329	336	120	53	185	1	1	118	249	498	31	92	1	0	140	108	53	67	1	19	0	35	22	21	52	343
TRBJ2-1	2	79	112	93	79	2	43	45	1	29	107	53	0	43	368	84	37	0	23	19	153	1	88	22	1	11	20	9	8	39	224	106	85	10	60	0	0	36	130	113	17	43	0	0	54	67	20	55	0	0	2	53	3	6	71	47
TRBJ2-2	1	97	70	49	70	3	42	23	0	44	253	18	0	22	44	53	29	0	32	10	83	0	57	11	0	6	32	3	5	50	185	106	14	3	58	0	0	42	221	161	12	22	0	0	78	31	21	31	0	3	1	42	0	12	53	53
TRBJ2-3	2	49	77	121	59	8	45	34	0	127	79	40	1	28	39	119	152	0	37	9	161	50	62	24	0	16	56	9	17	21	137	72	17	20	67	2	0	60	195	91	12	61	0	0	60	41	8	32	1	7	3	80	6	9	78	61
TRBJ1-6	0	1	72	61	342	1	58	21	0	13	119	23	0	21	46	45	27	0	140	16	81	1	48	6	9	26	36	5	4	5	78	55	19	22	66	1	0	47	117	59	11	58	0	0	96	76	4	4	0	0	0	4	0	4	28	27
TRBJ1-5	0	26	160	48	58	7	33	55	0	13	75	49	0	9	94	69	16	0	23	11	538	7	30	219	0	13	37	5	10	1	132	86	27	2	42	5	0	9	50	87	4	38	0	0	99	12	1	37	0	10	3	21	18	3	7	54
TRBJ1-4	0	6	43	29	38	1	23	21	0	5	75	20	0	13	28	19	15	0	28	12	31	1	16	3	0	3	16	8	4	10	45	91	22	15	37	4	0	13	51	35	27	9	0	0	109	16	2	9	0	0	8	24	0	7	5	70
TRBJ1-3	0	8	53	5	20	0	27	16	0	2	51	12	0	28	29	25	81	0	15	15	45	0	31	5	0	5	14	4	10	4	35	127	8	2	60	0	0	30	47	38	8	8	0	0	41	15	2	9	0	1	0	3	0	1	7	34
TRBJ1-2	1	215	291	148	107	4	120	157	0	88	148	86	0	102	86	111	17	1	89	25	183	2	63	39	0	15	54	33	6	0	193	138	29	47	332	3	0	46	107	307	13	99	0	0	224	31	4	55	1	5	3	27	9	19	55	103
TRBJ1-1	0	156	170	2223	143	18	35	46	0	83	130	32	0	62	110	101	48	0	115	25	502	0	105	27	0	4	63	17	9	15	202	141	18	35	180	0	1	322	145	304	43	65	0	2	94	30	17	23	0	3	0	14	7	13	49	84
