	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV12-1	TRBV23-1	TRBV4-3	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	1	6	1	4	13	39	1	1	0	0	3	10	8	0	1	8	3	0	3	2	4	0	7	0	1	0	0	0	14	10	1	5	14	0	0	3	3	5	0	14	0	1	1	0	1	0	0	1	1	0	7	2
TRBJ2-5	5	21	33	333	54	20	74	16	8	0	0	0	36	25	0	6	28	12	13	12	3	24	0	72	2	0	4	13	12	270	47	13	26	74	0	27	29	1	32	0	53	3	38	6	0	4	0	0	46	1	9	31	33
TRBJ2-6	0	2	16	34	11	8	10	1	4	0	0	0	19	11	0	0	4	18	3	1	3	6	0	15	1	0	1	1	0	23	10	3	0	20	0	13	11	11	5	0	7	0	1	22	0	1	0	0	2	1	6	7	10
TRBJ2-7	0	47	264	68	157	363	78	24	266	3	8	62	3411	84	2	9	53	22	20	12	25	25	0	127	62	2	13	0	4	235	81	36	16	221	2	57	11	7	20	0	69	15	5	26	11	56	0	4	15	14	5	15	41
TRBJ2-1	0	20	306	58	42	26	50	32	154	0	0	14	141	78	0	12	130	17	12	177	13	27	1	170	5	1	18	1	16	142	39	22	20	145	1	43	13	3	17	0	48	10	32	19	0	7	0	2	10	11	6	340	38
TRBJ2-2	0	14	76	24	32	399	78	16	67	0	0	41	59	22	0	14	18	6	10	17	27	15	1	116	7	0	0	5	4	122	42	5	10	107	5	33	17	116	13	0	75	1	1	17	0	3	0	2	20	31	14	42	30
TRBJ2-3	0	44	33	24	45	23	132	20	31	0	0	9	76	23	0	5	117	15	54	27	5	27	9	88	1	0	13	6	6	199	101	30	39	54	0	87	83	3	12	1	2781	2	1	7	0	0	0	0	130	22	10	219	27
TRBJ1-6	0	0	54	20	20	49	85	24	306	0	0	0	66	15	0	2	153	7	4	16	4	23	4	29	8	0	2	2	0	622	41	11	13	197	0	61	6	3	8	0	76	0	12	14	0	7	1	1	0	4	8	23	76
TRBJ1-5	5	15	123	41	149	266	29	42	66	0	0	3	58	87	0	4	20	43	1	28	4	29	0	43	1	40	4	1	0	128	265	11	2	90	0	24	7	0	12	2	799	5	0	19	2	1	0	2	14	3	0	7	46
TRBJ1-4	0	26	90	33	52	22	64	12	16	0	0	0	31	14	0	2	23	0	8	933	6	8	1	62	9	0	10	0	1	312	34	16	23	24	0	21	7	1	24	0	25	1	3	8	0	1	0	0	2	2	6	5	36
TRBJ1-3	0	6	105	5	100	15	98	35	12	0	0	0	28	3	0	4	12	8	1	276	39	11	0	56	0	0	14	0	0	48	20	11	4	71	0	13	19	4	7	1	19	1	4	6	0	0	0	0	3	1	2	10	22
TRBJ1-2	2	129	431	60	152	366	79	89	161	0	0	291	93	32	0	33	25	126	1	58	9	28	1	302	13	0	46	2	0	170	90	30	17	101	12	117	95	5	128	0	151	17	6	13	0	86	1	4	30	7	16	33	53
TRBJ1-1	2	54	112	48	86	52	111	31	73	0	0	22	154	114	0	5	57	61	15	40	94	18	0	141	15	0	62	89	7	358	181	17	34	160	0	53	13	8	22	0	284	4	68	40	0	1	0	4	22	9	21	40	185
