VJcombo	Pt30_on_Reads	Pt30_on_Freq
TRBV10-2.TRBJ2-5	14	4.96890882762e-05
TRBV10-2.TRBJ2-7	24	8.51812941878e-05
TRBV10-2.TRBJ2-6	53	0.000188108691331
TRBV10-2.TRBJ2-1	9	3.19429853204e-05
TRBV10-2.TRBJ2-3	34	0.000120673500099
TRBV10-2.TRBJ2-2	6	2.12953235469e-05
TRBV23-1.TRBJ1-3	6	2.12953235469e-05
TRBV12-3.TRBJ1-4	4253	0.0150948351742
TRBV6-7.TRBJ1-1	2	7.09844118232e-06
TRBV23-1.TRBJ1-5	4	1.41968823646e-05
TRBV23-1.TRBJ1-4	20	7.09844118232e-05
TRBV5-8.TRBJ1-1	26	9.22797353701e-05
TRBV6-2.TRBJ2-3	1431	0.00507893466595
TRBV5-8.TRBJ1-2	19	6.7435191232e-05
TRBV5-8.TRBJ1-5	25	8.8730514779e-05
TRBV5-8.TRBJ1-4	5	1.77461029558e-05
TRBV4-1.TRBJ1-5	122	0.000433004912121
TRBV4-1.TRBJ1-4	26	9.22797353701e-05
TRBV4-1.TRBJ1-1	177	0.000628212044635
TRBV4-1.TRBJ1-3	82	0.000291036088475
TRBV4-1.TRBJ1-2	325	0.00115349669213
TRBV4-1.TRBJ2-6	40	0.000141968823646
TRBV4-1.TRBJ2-7	951	0.00337530878219
TRBV4-1.TRBJ2-4	2	7.09844118232e-06
TRBV4-1.TRBJ2-5	457	0.00162199381016
TRBV4-1.TRBJ2-2	57	0.000202305573696
TRBV4-1.TRBJ2-3	166	0.000589170618132
TRBV4-1.TRBJ2-1	489	0.00173556886908
TRBV14-1.TRBJ1-5	4	1.41968823646e-05
TRBV14-1.TRBJ1-4	18	6.38859706408e-05
TRBV14-1.TRBJ1-1	132	0.000468497118033
TRBV14-1.TRBJ1-3	6	2.12953235469e-05
TRBV14-1.TRBJ1-2	227	0.000805673074193
TRBV9-1.TRBJ1-4	121	0.00042945569153
TRBV14-1.TRBJ2-7	488	0.00173201964849
TRBV14-1.TRBJ2-5	181	0.000642408927
TRBV14-1.TRBJ2-2	33	0.000117124279508
TRBV9-1.TRBJ1-1	405	0.00143743433942
TRBV9-1.TRBJ1-2	470	0.00166813367784
TRBV14-1.TRBJ2-1	61	0.000216502456061
TRBV7-6.TRBJ2-2	53	0.000188108691331
TRBV7-6.TRBJ2-3	38	0.000134870382464
TRBV7-6.TRBJ2-1	156	0.000553678412221
TRBV7-6.TRBJ2-6	28	9.93781765524e-05
TRBV7-6.TRBJ2-7	262	0.000929895794883
TRBV7-6.TRBJ2-5	25	8.8730514779e-05
TRBV10-2.TRBJ1-4	7	2.48445441381e-05
TRBV10-2.TRBJ1-5	6	2.12953235469e-05
TRBV10-2.TRBJ1-2	91	0.000322979073795
TRBV10-2.TRBJ1-1	38	0.000134870382464
TRBV24-1.TRBJ2-3	75	0.000266191544337
TRBV24-1.TRBJ2-2	65	0.000230699338425
TRBV24-1.TRBJ2-1	226	0.000802123853602
TRBV24-1.TRBJ2-7	71	0.000251994661972
TRBV24-1.TRBJ2-6	1	3.54922059116e-06
TRBV24-1.TRBJ2-5	77	0.000273289985519
TRBV24-1.TRBJ2-4	2	7.09844118232e-06
TRBV7-8.TRBJ2-1	210	0.000745336324143
TRBV7-8.TRBJ2-2	55	0.000195207132514
TRBV4-3.TRBJ2-3	342	0.00121383344218
TRBV21-1.TRBJ1-1	14	4.96890882762e-05
TRBV7-8.TRBJ2-4	2	7.09844118232e-06
TRBV21-1.TRBJ1-3	20	7.09844118232e-05
TRBV21-1.TRBJ1-2	39	0.000138419603055
TRBV21-1.TRBJ1-5	4	1.41968823646e-05
TRBV21-1.TRBJ1-4	12	4.25906470939e-05
TRBV7-8.TRBJ2-5	2107	0.00747820778557
TRBV21-1.TRBJ2-2	11	3.90414265027e-05
TRBV21-1.TRBJ2-3	6	2.12953235469e-05
TRBV21-1.TRBJ2-1	22	7.80828530055e-05
TRBV21-1.TRBJ2-6	3	1.06476617735e-05
TRBV21-1.TRBJ2-7	476	0.00168942900139
TRBV21-1.TRBJ2-4	1	3.54922059116e-06
TRBV21-1.TRBJ2-5	39	0.000138419603055
TRBV6-1.TRBJ2-4	113	0.000401061926801
TRBV6-1.TRBJ2-5	462	0.00163973991312
TRBV6-1.TRBJ2-6	23	8.16320735966e-05
TRBV6-1.TRBJ2-7	1465	0.00519960816605
TRBV6-1.TRBJ2-1	1238	0.00439393509185
TRBV6-1.TRBJ2-2	257	0.000912149691928
TRBV6-1.TRBJ2-3	365	0.00129546551577
TRBV12-3.TRBJ2-6	67	0.000237797779608
TRBV12-3.TRBJ2-7	498	0.0017675118544
TRBV12-3.TRBJ2-4	24	8.51812941878e-05
TRBV12-3.TRBJ2-5	169	0.000599818279906
TRBV12-3.TRBJ2-2	768	0.00272580141401
TRBV12-3.TRBJ2-3	442	0.00156875550129
TRBV12-3.TRBJ2-1	511	0.00181365172208
TRBV24-1.TRBJ1-1	16	5.67875294585e-05
TRBV24-1.TRBJ1-2	111	0.000393963485619
TRBV24-1.TRBJ1-3	36	0.000127771941282
TRBV24-1.TRBJ1-4	26	9.22797353701e-05
TRBV6-2.TRBJ2-1	422	0.00149777108947
TRBV7-8.TRBJ1-3	152	0.000539481529856
TRBV7-8.TRBJ1-2	545	0.00193432522218
TRBV4-3.TRBJ1-1	57	0.000202305573696
TRBV7-8.TRBJ1-5	2171	0.0077053579034
TRBV7-8.TRBJ1-4	268	0.00095119111843
TRBV9-1.TRBJ2-3	1910	0.00677901132911
TRBV6-2.TRBJ2-6	18	6.38859706408e-05
TRBV4-2.TRBJ2-3	35	0.000124222720691
TRBV9-1.TRBJ2-1	9191	0.0326208864533
TRBV7-6.TRBJ1-1	51	0.000181010250149
TRBV7-6.TRBJ1-3	20	7.09844118232e-05
TRBV7-6.TRBJ1-2	42	0.000149067264829
TRBV7-6.TRBJ1-5	9	3.19429853204e-05
TRBV7-6.TRBJ1-4	109	0.000386865044436
TRBV1-1.TRBJ2-3	1	3.54922059116e-06
TRBV6-1.TRBJ1-5	433	0.00153681251597
TRBV6-1.TRBJ1-4	1462	0.00518896050427
TRBV6-1.TRBJ1-3	222	0.000787926971237
TRBV6-1.TRBJ1-2	866	0.00307362503194
TRBV6-1.TRBJ1-1	426	0.00151196797183
TRBV5-8.TRBJ2-2	8	2.83937647293e-05
TRBV23-1.TRBJ2-2	68	0.000241347000199
TRBV23-1.TRBJ2-3	12	4.25906470939e-05
TRBV23-1.TRBJ2-4	1	3.54922059116e-06
TRBV23-1.TRBJ2-5	3	1.06476617735e-05
TRBV23-1.TRBJ2-7	11	3.90414265027e-05
TRBV11-3.TRBJ2-2	43	0.00015261648542
TRBV12-3.TRBJ1-5	306	0.00108606150089
TRBV23-1.TRBJ1-2	109	0.000386865044436
TRBV23-1.TRBJ1-1	156	0.000553678412221
TRBV12-3.TRBJ1-1	325	0.00115349669213
TRBV12-3.TRBJ1-3	217	0.000770180868281
TRBV12-3.TRBJ1-2	676	0.00239927311962
TRBV6-7.TRBJ2-7	8	2.83937647293e-05
TRBV6-7.TRBJ2-5	3	1.06476617735e-05
TRBV6-7.TRBJ2-2	11	3.90414265027e-05
TRBV6-7.TRBJ2-3	10	3.54922059116e-05
TRBV6-7.TRBJ2-1	2	7.09844118232e-06
TRBV27-1.TRBJ1-5	256	0.000908600471336
TRBV27-1.TRBJ1-4	284	0.00100797864789
TRBV27-1.TRBJ1-3	12	4.25906470939e-05
TRBV27-1.TRBJ1-2	985	0.00349598228229
TRBV27-1.TRBJ1-1	1673	0.00593784604901
TRBV4-3.TRBJ2-1	1680	0.00596269059315
TRBV4-3.TRBJ2-2	326	0.00115704591272
TRBV7-8.TRBJ2-3	156	0.000553678412221
TRBV4-3.TRBJ2-4	18	6.38859706408e-05
TRBV4-3.TRBJ2-5	134	0.000475595559215
TRBV7-8.TRBJ2-6	22	7.80828530055e-05
TRBV7-8.TRBJ2-7	2317	0.00822354410971
TRBV9-1.TRBJ2-7	655	0.00232473948721
TRBV6-2.TRBJ2-2	117	0.000415258809166
TRBV9-1.TRBJ2-5	127	0.000450751015077
TRBV9-1.TRBJ2-4	86	0.00030523297084
TRBV6-2.TRBJ2-7	1687	0.00598753513728
TRBV9-1.TRBJ2-2	183	0.000649507368182
TRBV6-2.TRBJ2-5	336	0.00119253811863
TRBV6-2.TRBJ2-4	294	0.0010434708538
TRBV11-3.TRBJ2-4	6	2.12953235469e-05
TRBV28-1.TRBJ1-4	173	0.00061401516227
TRBV28-1.TRBJ1-5	524	0.00185979158977
