	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	10	150	10	13	76	18	2	0	0	0	22	20	0	6	113	294	0	0	133	11	386	0	0	41	18	0	1	8	1	0	0	1	3166	24	13	0	0	60	1	0	10	86	33	1	154	0	12	0	0	2	0	1	0	2	119	3	0	6
TRBJ2-5	0	114	121	121	105	203	134	457	0	0	46	115	184	3	25	462	336	25	0	46	26	150	0	0	283	935	1	39	88	48	0	58	52	893	169	48	1	181	295	0	0	148	127	303	11	131	0	163	14	29	2107	1	3	0	77	20	43	65	630
TRBJ2-6	2	10	2537	10	30	9	8	40	0	0	1	48	49	0	75	23	18	28	0	171	1	18	1	0	304	0	0	3	684	0	1	0	0	215	67	26	0	5	15	0	0	85	11	95	69	14	0	56	53	0	22	0	0	0	1	17	2	5	27
TRBJ2-7	0	1153	993	4643	2239	197	8328	951	0	0	10814	1780	464	8	132	1465	1687	262	4	798	1352	1859	18	0	1061	203	1	476	1104	80	0	8	27	4433	498	1974	2	488	761	1	0	2685	655	1278	720	379	0	4151	24	1082	2317	0	11	13	71	284	12801	187	310
TRBJ2-1	1	328	1275	1441	3050	268	1680	489	26	5	56	1409	10754	2	287	1238	422	156	1	558	125	1015	3	0	1234	778	1	22	187	78	0	24	10481	4836	511	1833	0	61	3613	0	0	697	9191	1079	64	126	0	2185	9	51	210	3	8	10	226	65	85	176	388
TRBJ2-2	0	302	513	558	169	104	326	57	0	0	39	229	80	11	43	257	117	53	0	105	63	168	1	0	7374	48	0	11	41	8	0	8	4	722	768	31	0	33	344	63	0	70	183	541	143	1079	0	288	6	5	55	0	68	26	65	56	82	128	85
TRBJ2-3	1	223	329	253	239	35	342	166	0	1	372	177	122	10	43	365	1431	38	0	234	52	440	2	0	1228	933	1	6	199	11	0	8	69	958	442	44	0	60	2415	3	0	203	1910	140	121	69	0	5262	34	5	156	0	12	6	75	39	16	61	173
TRBJ1-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRBJ1-5	0	110	954	256	524	63	38	122	0	0	18	158	366	0	2	433	799	9	0	168	151	551	1	0	285	55	0	4	180	25	0	28	554	1412	306	826	0	4	96	1	0	38	358	145	9	87	1	517	6	0	2171	0	4	65	37	155	5	57	492
TRBJ1-4	3	39	93	284	173	11	7	26	0	1	6	194	58	0	3	1462	86	109	0	177	20	31	1	0	185	1814	0	12	315	5	0	3	4	969	4253	15	0	18	151	0	0	24	121	956	8	41	0	97	7	2	268	0	20	0	26	6	9	14	43
TRBJ1-3	0	53	107	12	569	1647	26	82	0	12	0	72	23	0	2	222	18	20	0	46	24	157	0	0	194	52	0	20	148	5	0	3	0	268	217	119	0	6	794	0	0	16	192	162	4	14	0	407	0	14	152	0	6	0	36	2	2	2	89
TRBJ1-2	0	449	425	985	2252	777	62	325	0	1	79	940	537	0	11	866	436	42	0	709	64	605	0	1	637	65	19	39	370	19	0	13	189	1564	676	119	0	227	6997	1	1	84	470	1341	6	704	0	497	91	4	545	3	109	5	111	34	921	139	713
TRBJ1-1	0	926	922	1673	5041	240	57	177	0	0	70	360	214	2	98	426	1731	51	0	2784	200	941	6	0	779	89	0	14	554	26	0	69	10	1530	325	55	0	132	390	18	0	820	405	5972	42	247	0	422	38	90	379	2	156	30	16	9	110	1128	223
