	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	9	13	11	0	10	11	5	0	3	0	6	2	0	2	4	30	3	0	5	1	5	0	21	2	0	2	0	1	0	0	22	11	3	0	4	9	1	2	11	1	7	1	0	19	9	0	0	13	1	1	0	23	2	0	4	1
TRBJ2-5	0	40	53	74	0	72	28	14	0	0	2	46	27	1	28	41	79	39	0	33	12	102	0	98	32	0	11	1	6	63	25	198	71	24	0	54	50	0	43	63	19	6	53	0	130	52	11	9	31	0	3	0	98	32	20	19	46
TRBJ2-6	0	13	24	22	1	3	11	9	0	2	2	16	2	0	10	14	9	6	0	4	12	17	0	15	11	0	3	0	3	1	0	13	20	0	0	3	9	0	1	6	6	1	3	0	24	5	3	0	3	1	3	0	12	0	6	10	21
TRBJ2-7	11	187	231	728	0	282	247	618	1	0	31	250	72	2	479	143	276	80	0	94	90	450	6	310	67	0	31	1	38	48	9	576	316	70	0	43	875	0	566	246	108	63	167	2	553	184	52	16	295	2	15	4	115	81	45	32	101
TRBJ2-1	0	86	156	252	0	211	91	53	0	0	26	79	30	1	73	189	172	59	0	55	16	138	1	149	81	3	27	1	16	28	22	297	177	69	0	58	80	3	67	181	73	21	83	1	221	123	20	8	238	1	4	0	114	55	21	79	74
TRBJ2-2	0	31	84	68	0	70	50	20	0	0	9	62	15	0	51	79	63	34	0	16	10	46	1	156	25	0	8	3	15	18	9	93	78	26	0	31	71	5	36	92	14	7	43	0	137	69	8	5	52	0	8	0	65	23	21	14	34
TRBJ2-3	0	44	112	91	0	67	62	22	0	0	33	49	29	0	56	70	81	17	0	29	8	248	1	91	24	0	8	0	7	12	40	329	147	54	0	30	85	0	39	111	22	20	79	0	133	137	13	4	30	0	16	1	74	45	8	34	48
TRBJ1-6	0	2	1	5	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	1	0	2	0	0	0	0	1	0	0	0	0	3	1	1	0	0	1	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	4	0	0
TRBJ1-5	0	36	248	157	0	71	10	28	0	0	6	61	49	2	2	113	167	18	0	36	32	88	1	33	58	3	26	2	9	11	1	342	117	49	0	8	43	1	19	42	22	6	12	0	255	77	22	7	69	1	8	9	66	9	18	3	43
TRBJ1-4	0	43	82	44	0	71	87	42	0	1	0	37	12	0	2	24	15	10	2	10	18	25	3	56	4	0	4	2	6	3	2	45	40	55	0	4	43	0	23	42	12	4	11	0	59	87	4	1	16	0	1	5	19	3	3	5	24
TRBJ1-3	0	24	36	20	0	37	10	15	0	0	2	29	9	0	6	24	4	4	0	5	24	19	0	35	6	0	3	0	64	4	1	27	29	56	0	5	23	0	60	79	1	4	11	1	64	29	3	0	9	0	2	2	39	0	9	10	48
TRBJ1-2	1	124	161	141	0	102	54	48	0	1	18	122	43	0	29	62	119	18	0	59	43	128	6	156	46	0	9	0	570	44	64	151	150	36	1	26	279	2	41	93	45	5	102	0	303	66	18	1	51	1	6	6	100	10	28	13	59
TRBJ1-1	0	102	146	396	0	208	40	60	1	1	17	420	67	2	62	126	107	41	0	39	12	95	0	138	74	2	12	0	11	14	7	170	125	59	0	27	70	2	50	92	42	15	56	0	177	123	42	4	76	3	4	1	50	45	12	26	131
