	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	2	52	9	3	3	77	2	0	0	0	23	2	0	17	26	106	10	0	86	5	34	1	0	56	10	0	0	10	9	5	0	63	27	2	2	13	0	0	2	24	9	4	27	0	322	3	1	38	0	48	0	4	5	0	1	2	32
TRBJ2-5	0	60	1423	54	95	62	275	6	0	0	1	206	251	0	109	154	420	123	0	147	20	939	3	0	356	66	0	26	96	11	181	368	332	255	29	48	260	8	0	69	363	532	5	117	3	210	4	6	519	0	0	1	718	281	10	41	86	174
TRBJ2-6	0	20	67	85	5	2	98	1	0	0	0	118	8	0	10	26	8	20	0	24	4	48	3	0	642	1	0	304	218	2	5	0	15	373	74	22	9	0	0	286	10	33	4	31	0	27	2	6	4	3	0	0	10	58	2	16	1	17
TRBJ2-7	25	1398	3499	1525	118	211	400	155	2	4	2	1709	268	1	174	2977	949	5631	0	952	406	955	10	0	1638	372	1	981	640	61	97	86	1763	491	299	1471	1414	2632	2	444	2040	1737	95	721	1	1674	116	34	871	0	32	23	79	945	26	31	92	290
TRBJ2-1	1	735	988	686	47	89	251	15	1	0	0	334	362	0	2373	1170	1110	455	0	803	42	461	38	0	925	307	0	21	242	37	31	58	831	540	273	68	432	0	1	209	3689	947	95	381	0	273	382	111	54	0	2	0	99	1323	27	36	343	193
TRBJ2-2	1	404	3153	414	595	1462	429	105	4	4	0	10620	374	3	52	524	398	200	0	63	167	194	3	1	420	833	0	126	56	4	9	27	539	202	40	34	194	0	0	98	2600	577	33	492	0	269	15	10	48	3	16	0	45	2273	67	31	244	98
TRBJ2-3	0	1033	445	998	43	50	133	542	0	1	1	401	75	0	36	225	707	212	0	110	70	1102	10	0	251	276	2	37	570	374	17	70	489	381	51	106	345	6	0	157	1090	453	45	1110	0	178	20	44	38	1	13	0	120	272	30	544	57	96
TRBJ1-6	0	20	268	93	6	0	96	10	0	0	0	130	113	3	4	52	142	217	0	25	18	109	0	0	190	33	0	21	96	1	5	2	375	58	3	2	220	0	0	15	186	107	11	31	0	26	7	0	17	0	20	2	0	117	0	28	6	50
TRBJ1-5	0	67	1988	1586	65	82	40	4	5	0	0	210	124	0	9	155	399	244	1	136	287	235	32	0	188	261	25	20	142	27	34	2	482	1329	67	2	1204	10	0	82	59	354	75	2752	0	1323	78	15	31	0	20	39	59	44	12	178	14	181
TRBJ1-4	0	44	101	420	20	32	386	3	0	0	0	54	35	0	4	79	19	40	0	28	53	94	1	0	116	20	0	8	102	5	6	41	334	213	42	28	75	2	0	20	53	299	412	28	0	227	7	1	86	0	3	0	28	95	3	29	5	62
TRBJ1-3	0	167	128	42	124	12	46	0	0	0	0	72	36	0	9	52	70	57	0	28	3	159	1	0	57	33	0	3	110	5	10	0	47	92	835	5	564	1	0	60	337	114	0	53	0	52	2	38	23	0	1	1	5	37	0	25	1	71
TRBJ1-2	5	989	1586	586	66	37	290	23	1	1	5	1656	183	2	50	478	1372	1385	1	254	130	3956	18	0	704	243	9	8	1569	47	43	7	794	1025	149	95	400	1	0	139	441	1317	39	340	12	505	64	13	229	0	20	1	458	220	1227	354	229	387
TRBJ1-1	2	329	1441	1374	161	86	1504	31	0	0	0	432	111	0	55	278	303	348	0	6327	298	463	12	0	567	2436	0	17	278	43	17	203	1284	708	77	46	164	1	0	120	428	337	359	605	0	167	1334	12	525	0	78	26	35	222	26	31	37	201
