	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV5-8	TRBV21-1	TRBV30-1	TRBV6-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV26-or09_02	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV7-5	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	14	28	1	43	0	0	4	0	0	0	3	0	0	5	3	1	0	7	55	7	0	26	1	60	0	10	2	0	0	22	2	1	0	3	5	0	11	14	0	10	0	7	3	0	6	1	0	0	1	3	0	0	9
TRBJ2-5	1	21	34	36	35	10	30	14	0	3	17	18	1	7	27	30	28	0	53	29	32	0	201	20	21	19	35	45	1	36	114	25	24	0	34	175	0	102	134	17	188	0	34	5	10	39	1	0	1	26	15	12	0	37
TRBJ2-6	2	1	12	9	5	4	2	8	0	70	17	7	0	0	8	8	8	0	20	10	10	0	19	2	2	2	8	112	0	0	15	9	34	0	4	14	0	7	31	1	23	1	15	14	1	1	1	0	0	6	0	1	0	6
TRBJ2-7	0	52	132	176	175	17	393	75	0	2	293	98	2	21	174	154	129	0	183	116	273	1	509	372	49	11	64	178	4	9	344	168	46	0	34	267	4	417	374	27	602	0	212	20	11	45	5	5	2	30	59	11	203	216
TRBJ2-1	0	32	64	49	53	44	47	20	1	86	94	24	0	15	51	61	47	0	89	57	101	0	207	42	25	5	22	95	5	56	118	28	40	0	20	157	2	88	202	9	233	0	70	28	4	11	9	0	1	55	14	6	3	37
TRBJ2-2	0	32	106	77	28	31	80	11	0	134	45	11	2	33	23	40	187	0	81	14	81	0	185	13	41	0	25	43	6	27	151	59	12	0	63	187	0	64	192	3	167	1	118	38	7	17	1	0	1	24	21	7	0	25
TRBJ2-3	0	31	54	51	35	31	21	40	0	90	38	18	0	16	44	94	37	0	65	26	64	0	162	69	27	11	34	109	4	6	103	80	12	0	11	215	1	92	120	3	309	0	47	18	1	36	2	0	4	51	42	4	0	32
TRBJ1-6	0	5	71	47	60	42	31	25	0	35	950	55	0	5	35	32	18	4	303	50	58	3	202	17	11	1	76	90	0	0	87	100	7	0	30	144	0	71	125	4	132	0	109	28	0	6	1	0	0	14	20	38	0	32
TRBJ1-5	0	21	258	36	94	6	83	10	0	49	55	24	1	9	15	61	53	0	107	63	91	0	100	42	61	5	73	77	4	6	345	158	13	0	3	216	1	20	458	2	65	0	259	39	3	5	7	0	0	32	9	5	2	49
TRBJ1-4	0	21	37	131	53	6	22	30	0	3	48	14	0	0	26	12	14	0	30	39	31	0	87	11	22	4	14	38	14	2	92	26	33	0	22	106	1	53	51	2	136	0	41	7	4	12	0	1	0	13	5	3	0	37
TRBJ1-3	55	9	42	7	23	5	18	38	0	0	49	8	0	2	28	8	41	0	19	11	20	0	53	22	5	3	20	28	0	0	33	80	35	0	75	68	0	24	146	2	53	0	67	7	0	3	2	0	0	4	0	9	14	11
TRBJ1-2	0	110	223	142	165	33	46	88	0	5	183	36	2	16	53	46	40	0	204	89	154	2	245	50	59	47	247	152	3	2	248	385	43	1	59	241	0	127	349	30	551	0	122	20	6	37	6	0	2	58	23	17	1	141
TRBJ1-1	0	55	205	85	52	96	54	71	0	56	129	50	0	9	46	59	114	0	80	224	146	0	375	45	48	4	144	149	6	3	269	124	52	0	16	375	0	124	377	13	182	0	123	6	3	20	9	1	1	40	27	20	3	49
