	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	23	4	9	19	1	2	0	0	0	0	3	2	7	1	0	1	0	0	3	1	2	0	0	4	1	0	0	4	27	0	0	29	0	1	2	15	0	0	8	2	11	0	0	1	0	0	2	0	0	3	2	1	0	16
TRBJ2-5	0	13	53	24	25	4	14	13	0	0	0	12	13	22	1	8	15	22	0	23	7	61	1	0	114	21	0	4	74	7	2	12	79	19	19	37	56	0	0	32	27	1512	7	0	25	1	2	82	1	1	23	51	4	1	13
TRBJ2-6	0	1	11	21	3	0	3	3	0	0	4	0	2	5	0	26	5	6	0	5	2	8	0	0	5	4	0	0	6	1	0	1	10	9	16	3	4	2	0	2	4	10	0	0	2	2	1	1	0	1	6	0	0	0	3
TRBJ2-7	0	57	141	181	106	15	36	65	0	0	1	96	51	111	10	97	71	115	1	193	56	1301	1	0	176	917	1	6	55	17	7	12	159	148	22	28	107	2	0	62	48	158	23	0	593	9	8	24	0	2	43	22	24	221	69
TRBJ2-1	0	19	50	44	46	32	29	19	0	0	6	53	11	68	18	27	49	4	0	79	19	67	0	0	107	31	0	7	26	3	3	3	105	20	19	10	36	1	0	33	54	67	8	0	45	5	2	10	0	3	50	11	3	1	27
TRBJ2-2	0	19	99	37	22	31	8	19	1	0	20	51	5	28	7	26	16	336	0	16	10	34	0	0	81	14	0	1	34	8	4	14	85	21	11	15	28	0	0	17	39	74	1	0	27	13	1	7	0	0	51	3	3	1	13
TRBJ2-3	1	15	36	55	18	11	12	45	0	0	10	17	12	42	8	27	15	14	1	26	11	160	0	0	74	157	0	1	21	7	1	1	54	45	8	5	34	2	0	18	93	59	8	0	65	5	2	23	2	0	37	16	3	2	30
TRBJ1-6	0	4	96	60	30	1	14	13	0	1	6	617	16	46	2	45	28	5	0	32	17	68	6	0	55	25	0	0	47	2	0	0	56	38	8	9	26	0	0	39	20	68	2	0	26	2	1	12	0	0	6	8	4	0	26
TRBJ1-5	0	8	174	35	71	8	39	14	0	0	7	41	17	50	2	49	82	68	0	32	17	15	0	0	41	31	0	3	46	13	1	1	193	72	22	0	61	4	0	7	6	293	0	0	163	23	0	10	1	2	30	3	5	0	20
TRBJ1-4	0	8	43	45	13	3	8	17	0	0	2	20	4	51	0	18	9	9	1	32	7	29	0	0	38	9	1	9	11	5	3	0	87	16	9	6	35	0	0	18	10	42	1	0	28	4	1	4	0	0	12	1	4	2	57
TRBJ1-3	85	5	22	8	10	2	2	27	0	0	0	18	7	32	2	9	9	28	0	8	5	13	0	0	14	9	0	1	24	0	0	1	19	21	7	13	59	0	0	13	13	43	0	1	75	1	1	7	1	0	1	2	1	7	5
TRBJ1-2	0	47	112	129	106	10	15	83	0	0	8	86	40	95	7	60	25	20	0	92	26	93	0	2	194	55	0	3	77	6	3	1	151	60	42	52	123	2	0	38	40	246	3	0	67	10	2	42	1	0	37	12	21	2	106
TRBJ1-1	0	35	122	63	90	25	40	88	0	1	22	78	36	86	10	141	44	106	0	20	27	42	0	0	119	34	0	5	115	8	7	1	151	48	17	22	109	0	1	25	64	600	14	0	70	10	4	12	3	1	70	8	14	0	53
