	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	2	28	16	64	24	21	3	9	0	1	0	12	30	1	4	316	1	0	0	12	0	16	0	0	22	2	0	2	5	2	0	0	37	23	3	3	25	0	1	12	16	11	22	0	15	2	1	0	0	1	0	1	17	2	1	28	3
TRBJ2-5	1	189	196	167	588	123	201	102	0	1	1	201	281	0	25	161	11	3	0	59	11	64	0	0	110	46	1	182	68	49	1	10	530	284	25	1	523	1	89	580	145	349	43	0	1525	11	25	1	0	1	2	163	1	10	144	44	374
TRBJ2-6	3	3	148	67	24	18	72	3	0	0	1	99	17	3	1	286	3	13	0	3	2	18	1	0	70	4	0	0	11	3	0	6	8	15	15	2	21	0	44	9	48	0	6	0	27	4	4	0	0	0	0	10	0	14	1	5	9
TRBJ2-7	0	324	664	2096	1946	168	251	222	3	3	2	2298	419	229	318	417	144	606	3	276	240	677	7	1	1498	499	2	22	672	104	9	14	2692	1299	350	1293	591	2	746	1210	681	185	1646	1	3733	14	121	3	0	9	13	191	8	17	189	437	242
TRBJ2-1	4	107	424	752	1271	122	59	67	2	4	1	1002	107	3	85	5493	141	33	0	68	128	146	3	0	316	93	0	33	537	44	2	9	1565	353	82	27	213	0	205	629	189	128	275	1	721	12	36	0	0	1	11	1513	5	126	285	80	190
TRBJ2-2	1	1047	384	263	1908	81	14	163	0	1	0	939	92	0	62	243	44	817	1	529	18	470	4	0	177	85	1	13	59	89	6	20	424	126	28	484	6903	0	40	235	264	54	60	0	236	1	60	2	1	0	0	299	1	54	280	357	55
TRBJ2-3	0	39	395	324	244	428	77	62	0	2	0	488	50	2	1053	464	127	80	0	339	22	94	2	0	231	131	0	30	27	4	6	3	361	424	118	31	309	2	133	352	158	275	187	0	116	2	54	0	0	3	3	58	13	113	33	76	49
TRBJ1-6	3	13	182	138	185	77	101	174	0	0	0	104	21	0	5	137	11	27	0	294	31	89	3	0	291	39	1	13	734	26	0	2	270	156	38	170	151	1	170	353	160	42	38	0	91	18	4	2	0	2	2	9	3	92	51	35	96
TRBJ1-5	7	68	1700	308	1264	159	209	109	1	1	0	614	145	0	3	338	36	61	508	150	40	56	7	0	106	69	0	68	255	47	7	0	586	377	27	8	558	0	31	216	259	108	36	3	563	20	24	3	0	97	8	136	5	29	38	24	141
TRBJ1-4	0	36	73	31	459	59	163	79	13	0	0	89	21	0	2	72	15	22	0	54	24	36	0	0	51	6	0	4	109	11	1	7	145	96	155	335	91	2	59	61	134	42	34	0	150	0	1	0	16	5	2	39	3	4	23	24	41
TRBJ1-3	0	21	658	30	64	14	12	9	1	0	0	73	45	1	5	361	6	35	0	1237	5	27	10	0	106	19	0	1	301	9	1	0	166	318	25	1	45	0	9	66	51	3	50	0	175	2	12	1	3	2	0	10	7	6	1	6	67
TRBJ1-2	0	509	294	296	225	289	83	174	0	0	0	671	218	2	19	99	90	104	2	372	62	65	2	0	690	988	0	92	239	10	4	13	1870	1217	443	39	508	0	610	202	270	152	104	0	2941	6	9	1	0	65	10	220	7	83	546	29	129
TRBJ1-1	0	154	484	1350	420	68	134	100	9	0	0	586	406	5	44	125	123	159	0	108	187	159	4	0	1309	488	0	15	110	30	7	0	344	351	32	25	1226	0	78	316	1095	392	1224	0	796	12	33	0	0	2	0	20	58	188	54	23	112
