	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	2	8	29	5	1	0	4	0	0	0	2	4	0	0	185	1	0	0	0	0	13	1	17	0	0	0	3	1	0	0	7	6	1	0	1	6	0	1	9	2	15	1	0	4	2	0	0	0	0	0	2	2	0	3	1
TRBJ2-5	0	58	65	58	152	19	0	0	0	0	3	33	28	1	4	64	6	11	0	12	0	16	0	35	14	0	135	6	7	2	0	203	58	3	0	1	61	0	13	68	29	196	6	1	153	4	4	89	0	1	0	20	17	11	2	23
TRBJ2-6	3	2	15	2	17	3	0	0	0	0	1	10	8	0	0	15	0	0	0	2	1	2	0	9	0	0	1	4	1	2	10	2	4	2	1	2	13	0	9	8	5	0	1	0	4	0	0	59	0	0	0	3	0	0	2	3
TRBJ2-7	0	65	263	409	478	76	0	6	0	3	11	705	232	19	27	236	32	379	0	45	35	117	0	433	97	1	2	201	17	0	1	620	286	103	0	170	80	2	324	230	624	48	207	1	354	5	30	27	1	5	0	74	95	95	43	53
TRBJ2-1	1	50	95	126	161	24	0	1	1	0	17	68	16	0	4	84	26	20	0	12	21	21	3	127	31	0	5	610	10	7	2	228	128	9	0	13	108	0	93	92	41	17	62	0	344	3	10	12	0	2	6	399	18	116	10	8
TRBJ2-2	0	135	426	66	468	9	1	0	0	0	7	42	19	0	12	69	1	247	0	514	5	34	2	60	14	3	5	12	28	2	16	71	37	40	0	84	387	0	24	76	45	4	14	0	49	0	3	1	0	2	0	64	97	58	35	28
TRBJ2-3	1	18	162	82	53	38	1	4	0	0	17	175	27	0	75	64	9	2	0	73	12	38	3	76	42	0	3	5	10	0	2	77	110	32	0	3	111	0	49	86	50	164	69	0	22	2	6	12	0	0	0	10	46	15	9	7
TRBJ1-6	1	0	62	46	42	3	1	2	0	1	10	21	6	0	0	23	6	15	0	182	6	35	0	62	7	0	7	35	0	0	0	84	28	9	0	101	22	0	14	48	30	30	20	0	31	0	2	6	0	0	0	8	80	18	4	18
TRBJ1-5	2	16	414	46	473	19	0	0	0	0	7	65	35	0	2	108	4	16	3	71	13	39	0	31	35	0	22	49	16	4	0	177	117	8	0	2	136	2	2	26	33	19	92	0	126	10	0	34	0	10	2	48	28	8	4	59
TRBJ1-4	0	18	22	6	101	16	0	1	0	0	7	32	7	0	1	33	2	7	0	10	4	10	0	14	3	0	2	24	22	0	0	28	18	38	0	18	31	1	18	13	58	12	5	0	57	0	0	53	8	1	4	4	14	4	0	33
TRBJ1-3	0	7	61	3	23	2	0	0	0	0	1	10	3	0	1	24	2	17	0	105	2	13	0	39	1	0	0	82	3	0	0	86	87	9	0	2	30	1	5	71	6	1	10	0	10	0	7	0	1	2	2	2	2	2	0	11
TRBJ1-2	0	54	71	46	85	62	0	0	0	0	8	118	55	0	0	64	40	13	1	24	15	16	0	127	55	0	33	91	1	0	1	546	155	63	0	16	371	0	62	70	53	10	22	0	132	0	5	18	0	3	5	32	80	194	13	21
TRBJ1-1	0	61	163	276	97	5	0	4	14	0	33	85	71	1	13	31	44	88	0	41	42	35	0	489	31	6	5	104	2	0	1	96	55	10	0	8	1148	0	32	72	106	106	129	0	343	1	12	20	0	0	0	57	113	26	22	43
