	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV26-or09_02	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	8	13	25	3	19	1	11	3	0	0	1	5	1	0	1	5	3	0	25	2	4	0	22	8	0	0	4	0	0	0	22	8	2	0	0	20	26	0	16	15	1	3	0	5	1	3	1	0	0	0	0	2	0	3	19
TRBJ2-5	0	76	113	89	52	105	62	12	60	0	3	2	79	18	0	10	65	79	95	104	3	112	0	271	18	2	2	8	32	13	27	350	131	27	0	0	16	140	2	71	440	9	107	0	98	4	5	20	10	4	0	44	7	10	55	149
TRBJ2-6	2	9	21	31	13	43	0	2	20	0	0	6	12	3	0	4	5	7	3	4	0	12	0	68	8	1	0	8	9	0	2	17	13	107	0	0	4	40	0	17	28	1	17	2	13	0	0	4	0	0	0	3	0	12	4	11
TRBJ2-7	12	42	183	1159	218	350	58	49	70	0	0	33	196	62	1	16	269	133	14	100	45	345	5	543	56	0	48	146	7	2	5	808	148	267	0	0	41	297	2	1804	123	7	52	10	1170	11	10	164	4	15	1	1140	16	53	166	215
TRBJ2-1	4	68	120	118	47	337	35	70	60	0	0	33	101	46	0	46	75	67	13	206	8	92	1	222	48	8	4	50	20	26	20	679	81	47	0	0	17	155	0	115	64	12	79	1	70	11	9	24	0	9	10	52	6	96	98	302
TRBJ2-2	3	60	178	94	2782	96	59	65	47	0	0	29	72	21	0	4	53	217	21	22	40	65	4	151	39	0	6	19	18	6	12	125	125	26	0	0	19	57	1	95	88	8	48	0	67	4	14	4	0	6	1	89	37	14	29	56
TRBJ2-3	3	79	56	88	146	165	49	278	46	0	0	26	66	62	0	18	26	78	35	43	3	258	0	275	54	0	26	48	11	3	7	274	79	28	0	0	376	81	0	79	65	14	119	0	171	10	7	9	0	4	5	25	30	146	31	85
TRBJ1-6	0	1	62	31	38	59	5	0	12	0	0	16	69	3	3	1	12	10	0	68	15	42	0	89	55	0	17	2	6	0	0	59	7	6	0	0	30	151	0	101	40	2	19	0	17	5	0	0	0	0	0	7	8	10	3	34
TRBJ1-5	0	12	422	212	169	241	22	29	66	0	2	56	96	145	0	2	7	114	30	53	72	126	0	127	29	0	5	30	6	9	0	379	170	94	0	0	11	86	3	67	98	3	6	0	209	206	0	12	0	6	0	39	26	20	4	205
TRBJ1-4	0	43	36	40	57	71	41	128	47	1	0	154	51	20	0	1	32	50	0	33	90	42	11	83	29	0	2	33	2	0	1	59	36	15	0	0	10	91	0	33	105	2	14	0	72	1	2	1	1	0	1	12	1	15	0	73
TRBJ1-3	2	8	60	6	171	116	42	14	22	2	0	0	62	20	1	0	50	9	51	28	13	17	0	459	11	0	5	17	2	0	4	473	21	9	0	0	19	34	0	29	142	11	8	0	19	0	0	1	0	0	0	3	9	1	0	23
TRBJ1-2	10	130	146	97	228	307	50	17	47	0	0	25	288	203	1	4	110	78	22	41	32	129	3	355	96	0	10	102	8	51	0	660	376	25	1	1	11	193	0	77	158	5	91	0	63	14	19	606	0	7	0	80	10	158	33	143
TRBJ1-1	0	403	173	186	200	141	20	21	98	0	1	13	218	219	0	12	112	112	57	59	27	41	1	270	48	0	7	58	5	5	4	406	160	29	0	0	28	127	1	102	118	23	185	0	81	23	17	9	0	18	0	15	33	11	21	105
