	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	10	19	29	24	1	5	3	0	0	0	7	4	0	0	12	6	1	57	0	19	0	26	13	0	1	3	1	0	0	0	19	9	1	0	27	19	0	2	6	23	0	8	0	0	7	2	1	2	0	2	0	2	4	1	2	33
TRBJ2-5	2	112	110	174	81	85	40	88	0	1	6	114	32	0	5	76	71	101	156	16	212	1	374	20	0	6	18	49	0	27	22	540	143	27	0	29	113	3	91	85	354	14	123	0	0	171	17	14	17	7	3	0	125	7	10	24	192
TRBJ2-6	0	9	23	37	34	4	1	29	0	0	19	14	3	0	2	15	21	6	7	0	16	2	42	0	3	0	16	14	1	0	0	21	4	208	0	5	7	0	3	15	46	2	23	1	0	22	0	0	13	0	1	0	5	2	15	0	9
TRBJ2-7	10	55	296	1943	478	61	234	85	0	0	24	627	124	1	18	316	137	32	107	28	554	6	677	83	0	63	216	11	0	3	1	1242	196	52	0	91	366	6	421	1048	103	11	80	28	0	1051	7	25	48	1	14	0	872	20	44	295	197
TRBJ2-1	3	82	139	162	218	63	31	65	0	0	41	121	44	0	76	64	105	21	424	16	127	2	345	113	3	5	105	16	0	20	52	585	102	96	0	18	265	3	58	145	96	7	68	0	0	165	12	13	80	1	23	42	76	20	135	81	237
TRBJ2-2	0	86	185	112	150	57	8	100	0	0	57	60	31	0	9	608	126	22	47	34	102	0	224	40	0	14	36	22	0	8	13	157	215	91	0	12	64	0	76	144	107	12	44	0	0	78	9	11	71	0	6	0	91	29	27	76	50
TRBJ2-3	2	127	81	115	170	48	4	64	0	0	60	74	53	0	25	153	103	27	48	7	207	0	322	51	0	17	93	10	0	3	6	211	110	32	0	287	95	0	42	102	88	4	114	0	0	266	22	17	359	0	5	0	30	48	74	30	109
TRBJ1-6	0	0	67	47	62	12	0	5	0	0	16	61	6	1	0	49	73	2	51	21	52	0	106	36	0	25	1	7	0	0	0	83	25	8	0	7	118	0	29	118	48	8	16	0	0	50	5	0	0	0	3	0	5	5	19	0	67
TRBJ1-5	0	29	593	278	321	42	29	47	0	3	81	130	75	10	0	197	160	28	34	84	231	1	105	44	0	14	41	5	0	3	3	369	148	83	0	5	123	1	14	62	56	0	26	0	0	280	207	0	11	0	5	0	28	48	19	7	234
TRBJ1-4	0	53	36	59	96	48	7	53	1	0	149	88	23	3	3	43	43	1	61	126	58	5	97	30	0	5	22	4	0	0	1	57	32	21	0	10	112	0	56	34	129	2	28	0	0	86	3	4	101	0	0	2	12	4	3	0	98
TRBJ1-3	5	11	138	13	203	45	1	27	3	0	0	66	29	1	3	302	9	51	42	14	23	0	635	12	0	4	15	1	0	0	4	393	26	10	0	14	41	0	46	24	166	7	9	0	0	34	4	0	13	0	1	2	12	9	1	4	35
TRBJ1-2	12	184	211	172	362	89	788	79	0	0	55	358	238	0	0	158	61	8	44	34	180	9	432	165	0	6	100	2	0	38	0	1015	680	48	1	16	209	0	190	114	199	6	103	0	0	95	8	29	30	0	7	0	196	7	75	35	175
TRBJ1-1	1	199	187	192	245	14	10	167	1	0	14	255	163	0	28	201	126	25	108	50	54	0	304	60	0	6	71	4	0	12	3	539	164	42	0	54	138	1	157	87	130	36	173	0	3	127	19	18	14	0	21	0	8	40	11	25	114
