	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	10	17	7	0	8	7	6	0	0	5	35	4	0	0	28	2	19	0	5	5	2	4	30	0	17	3	1	2	0	92	18	7	3	11	0	12	12	6	2	5	0	30	25	0	1	0	0	3	18	1	1	1	1	13
TRBJ2-5	3	102	154	107	0	130	27	39	0	1	12	48	29	3	16	160	54	29	0	68	20	68	1	257	1	10	24	7	7	24	359	65	26	17	167	1	134	118	19	11	73	0	65	87	14	6	21	2	2	3	39	11	19	56	44
TRBJ2-6	0	20	52	21	0	27	13	25	0	0	18	15	3	0	2	39	2	1	0	3	4	15	1	21	0	3	7	1	0	5	109	17	22	10	20	0	40	19	41	0	5	0	15	47	3	0	8	0	0	0	5	6	6	5	11
TRBJ2-7	5	153	599	437	0	460	83	240	0	1	26	263	130	2	25	840	108	64	3	231	68	195	8	567	4	47	89	29	20	3	831	232	72	95	505	6	200	200	116	50	195	0	454	334	57	41	127	8	20	39	26	50	47	110	98
TRBJ2-1	0	189	345	359	0	149	87	174	0	2	122	459	110	0	28	179	43	53	1	66	30	254	2	441	3	25	43	10	16	12	536	173	80	64	123	1	178	143	86	94	351	0	191	398	27	20	54	0	7	1	170	86	51	147	208
TRBJ2-2	12	65	200	172	0	87	31	30	0	0	185	128	458	1	20	135	23	61	0	36	46	60	2	190	0	10	42	10	3	13	436	115	87	29	103	3	55	87	125	7	45	0	94	205	7	20	20	1	1	0	73	52	36	80	37
TRBJ2-3	10	94	124	134	0	187	36	47	0	0	356	90	39	0	25	172	69	38	1	87	16	72	1	299	0	23	48	8	6	5	329	121	45	20	150	2	91	163	68	27	113	0	83	523	11	15	53	3	2	3	70	60	19	76	40
TRBJ1-6	0	1	83	67	0	50	32	42	0	1	28	108	18	0	77	73	21	3	0	32	15	17	0	49	1	5	3	3	5	14	120	99	5	6	61	0	19	47	5	4	21	0	7	81	5	0	8	0	0	2	1	11	5	10	12
TRBJ1-5	1	51	334	158	0	85	45	52	0	0	11	77	80	1	2	238	24	22	0	102	26	39	4	86	2	8	174	15	10	4	417	115	70	5	57	1	24	40	33	13	36	5	204	499	20	0	42	0	14	1	33	7	12	6	71
TRBJ1-4	14	66	63	131	0	83	16	68	2	0	6	30	25	0	22	75	6	16	0	25	6	20	1	60	0	6	41	1	2	3	132	73	26	28	123	3	23	25	18	4	17	0	50	111	6	0	16	0	1	1	6	3	19	2	27
TRBJ1-3	2	14	60	19	0	56	52	41	1	0	0	219	24	0	1	71	6	18	2	18	8	25	3	51	0	7	40	1	0	0	102	47	15	4	67	5	38	66	11	12	14	0	36	57	1	6	16	0	21	0	2	9	6	9	17
TRBJ1-2	0	227	286	195	5	267	84	74	1	2	34	338	110	2	3	853	52	14	1	105	76	107	21	269	3	58	71	64	12	0	613	211	46	56	284	2	126	255	37	17	137	0	215	623	84	6	222	1	12	4	70	16	149	55	95
TRBJ1-1	2	198	347	324	0	623	54	161	0	0	51	205	84	1	46	471	89	36	1	119	32	107	4	369	2	52	122	36	19	7	747	241	49	191	275	4	79	235	56	21	80	1	316	279	137	12	84	2	6	8	22	48	26	95	112
