VJcombo	Pt5_on_S0089494_Reads	Pt5_on_S0089494_Freq
TRBV10-2.TRBJ2-5	6	0.000298596595999
TRBV10-2.TRBJ2-7	225	0.01119737235
TRBV10-2.TRBJ2-1	52	0.00258783716532
TRBV10-2.TRBJ2-2	1	4.97660993331e-05
TRBV12-3.TRBJ1-5	3	0.000149298297999
TRBV10-1.TRBJ2-1	97	0.00482731163531
TRBV4-1.TRBJ1-5	20	0.000995321986663
TRBV4-1.TRBJ1-4	1	4.97660993331e-05
TRBV4-1.TRBJ1-6	7	0.000348362695332
TRBV4-1.TRBJ1-1	35	0.00174181347666
TRBV4-1.TRBJ1-3	1	4.97660993331e-05
TRBV4-1.TRBJ1-2	8	0.000398128794665
TRBV4-1.TRBJ2-6	1	4.97660993331e-05
TRBV4-1.TRBJ2-7	14	0.000696725390664
TRBV4-1.TRBJ2-5	3	0.000149298297999
TRBV4-1.TRBJ2-2	6	0.000298596595999
TRBV4-1.TRBJ2-3	24	0.001194386384
TRBV4-1.TRBJ2-1	89	0.00442918284065
TRBV14-1.TRBJ1-5	3	0.000149298297999
TRBV14-1.TRBJ1-1	3	0.000149298297999
TRBV9-1.TRBJ1-4	379	0.0188613516473
TRBV14-1.TRBJ2-7	37	0.00184134567533
TRBV9-1.TRBJ1-6	2	9.95321986663e-05
TRBV14-1.TRBJ2-5	9	0.000447894893998
TRBV9-1.TRBJ1-1	86	0.00427988454265
TRBV9-1.TRBJ1-2	53	0.00263760326466
TRBV9-1.TRBJ1-3	73	0.00363292525132
TRBV7-6.TRBJ2-2	3	0.000149298297999
TRBV7-6.TRBJ2-3	10	0.000497660993331
TRBV7-6.TRBJ2-1	10	0.000497660993331
TRBV7-6.TRBJ2-7	5	0.000248830496666
TRBV7-6.TRBJ2-5	32	0.00159251517866
TRBV10-2.TRBJ1-5	1	4.97660993331e-05
TRBV10-2.TRBJ1-2	1	4.97660993331e-05
TRBV10-2.TRBJ1-1	1	4.97660993331e-05
TRBV24-1.TRBJ2-3	2	9.95321986663e-05
TRBV24-1.TRBJ2-2	18	0.000895789787996
TRBV24-1.TRBJ2-1	6	0.000298596595999
TRBV24-1.TRBJ2-5	1	4.97660993331e-05
TRBV9-1.TRBJ2-7	619	0.0308052154872
TRBV4-3.TRBJ2-1	33	0.00164228127799
TRBV4-3.TRBJ2-2	33	0.00164228127799
TRBV4-3.TRBJ2-3	93	0.00462824723798
TRBV21-1.TRBJ1-1	2	9.95321986663e-05
TRBV21-1.TRBJ1-5	13	0.000646959291331
TRBV4-3.TRBJ2-5	49	0.00243853886732
TRBV21-1.TRBJ2-2	2	9.95321986663e-05
TRBV21-1.TRBJ2-3	3	0.000149298297999
TRBV21-1.TRBJ2-1	5	0.000248830496666
TRBV21-1.TRBJ2-7	4	0.000199064397333
TRBV6-1.TRBJ2-4	5	0.000248830496666
TRBV6-1.TRBJ2-5	5	0.000248830496666
TRBV6-1.TRBJ2-6	81	0.00403105404598
TRBV6-1.TRBJ2-7	21	0.001045088086
TRBV6-1.TRBJ2-1	14	0.000696725390664
TRBV6-1.TRBJ2-2	3	0.000149298297999
TRBV6-1.TRBJ2-3	10	0.000497660993331
TRBV12-3.TRBJ2-6	4	0.000199064397333
TRBV12-3.TRBJ2-7	149	0.00741514880064
TRBV12-3.TRBJ2-4	2	9.95321986663e-05
TRBV12-3.TRBJ2-5	7	0.000348362695332
TRBV12-3.TRBJ2-2	2	9.95321986663e-05
TRBV12-3.TRBJ2-3	14	0.000696725390664
TRBV12-3.TRBJ2-1	66	0.00328456255599
TRBV24-1.TRBJ1-1	4	0.000199064397333
TRBV24-1.TRBJ1-2	1	4.97660993331e-05
TRBV24-1.TRBJ1-5	3	0.000149298297999
TRBV7-8.TRBJ1-3	5	0.000248830496666
TRBV4-3.TRBJ1-2	236	0.0117447994426
TRBV4-3.TRBJ1-1	465	0.0231412361899
TRBV4-3.TRBJ1-6	1	4.97660993331e-05
TRBV7-8.TRBJ1-5	13	0.000646959291331
TRBV7-8.TRBJ1-4	2	9.95321986663e-05
TRBV6-2.TRBJ2-7	105	0.00522544042998
TRBV6-2.TRBJ2-6	1	4.97660993331e-05
TRBV6-2.TRBJ2-5	72	0.00358315915199
TRBV7-6.TRBJ1-1	1	4.97660993331e-05
TRBV7-6.TRBJ1-3	1	4.97660993331e-05
TRBV7-6.TRBJ1-2	4	0.000199064397333
TRBV7-6.TRBJ1-5	1	4.97660993331e-05
TRBV7-6.TRBJ1-4	1	4.97660993331e-05
TRBV6-1.TRBJ1-5	130	0.00646959291331
TRBV6-1.TRBJ1-4	6	0.000298596595999
TRBV6-1.TRBJ1-3	1	4.97660993331e-05
TRBV6-1.TRBJ1-2	20	0.000995321986663
TRBV6-1.TRBJ1-1	5	0.000248830496666
TRBV6-7.TRBJ1-5	46	0.00228924056932
TRBV12-3.TRBJ1-4	44	0.00218970837066
TRBV12-3.TRBJ1-6	12	0.000597193191998
TRBV12-3.TRBJ1-1	40	0.00199064397333
TRBV23-1.TRBJ1-6	11	0.000547427092664
TRBV12-3.TRBJ1-3	1	4.97660993331e-05
TRBV12-3.TRBJ1-2	49	0.00243853886732
