VJcombo	Pt5_pre_S0089505_Reads	Pt5_pre_S0089505_Freq
TRBV10-2.TRBJ2-5	12	0.000637314780392
TRBV10-2.TRBJ2-4	1	5.31095650327e-05
TRBV10-2.TRBJ2-7	283	0.0150300069042
TRBV10-2.TRBJ2-1	14	0.000743533910457
TRBV10-2.TRBJ2-3	3	0.000159328695098
TRBV10-2.TRBJ2-2	1	5.31095650327e-05
TRBV6-7.TRBJ1-5	2	0.000106219130065
TRBV23-1.TRBJ1-2	1	5.31095650327e-05
TRBV10-1.TRBJ2-2	3	0.000159328695098
TRBV10-1.TRBJ2-1	94	0.00499229911307
TRBV10-1.TRBJ2-6	1	5.31095650327e-05
TRBV4-1.TRBJ1-5	14	0.000743533910457
TRBV4-1.TRBJ1-4	8	0.000424876520261
TRBV4-1.TRBJ1-6	3	0.000159328695098
TRBV4-1.TRBJ1-1	64	0.00339901216209
TRBV4-1.TRBJ1-3	6	0.000318657390196
TRBV4-1.TRBJ1-2	11	0.000584205215359
TRBV4-1.TRBJ2-6	3	0.000159328695098
TRBV4-1.TRBJ2-7	28	0.00148706782091
TRBV4-1.TRBJ2-4	3	0.000159328695098
TRBV4-1.TRBJ2-5	9	0.000477986085294
TRBV4-1.TRBJ2-2	24	0.00127462956078
TRBV4-1.TRBJ2-3	19	0.00100908173562
TRBV4-1.TRBJ2-1	27	0.00143395825588
TRBV14-1.TRBJ1-5	8	0.000424876520261
TRBV14-1.TRBJ1-4	2	0.000106219130065
TRBV14-1.TRBJ1-6	2	0.000106219130065
TRBV14-1.TRBJ1-1	17	0.000902862605555
TRBV14-1.TRBJ1-3	5	0.000265547825163
TRBV14-1.TRBJ1-2	5	0.000265547825163
TRBV9-1.TRBJ1-4	307	0.016304636465
TRBV14-1.TRBJ2-7	14	0.000743533910457
TRBV9-1.TRBJ1-6	7	0.000371766955229
TRBV14-1.TRBJ2-5	7	0.000371766955229
TRBV14-1.TRBJ2-2	7	0.000371766955229
TRBV9-1.TRBJ1-1	128	0.00679802432418
TRBV9-1.TRBJ1-2	94	0.00499229911307
TRBV9-1.TRBJ1-3	7	0.000371766955229
TRBV7-6.TRBJ2-2	10	0.000531095650327
TRBV7-6.TRBJ2-3	14	0.000743533910457
TRBV7-6.TRBJ2-1	14	0.000743533910457
TRBV7-6.TRBJ2-7	15	0.00079664347549
TRBV7-6.TRBJ2-5	16	0.000849753040523
TRBV10-2.TRBJ1-6	4	0.000212438260131
TRBV10-2.TRBJ1-5	9	0.000477986085294
TRBV10-2.TRBJ1-2	3	0.000159328695098
TRBV10-2.TRBJ1-3	1	5.31095650327e-05
TRBV10-2.TRBJ1-1	5	0.000265547825163
TRBV24-1.TRBJ2-3	11	0.000584205215359
TRBV24-1.TRBJ2-2	17	0.000902862605555
TRBV24-1.TRBJ2-1	13	0.000690424345425
TRBV24-1.TRBJ2-7	11	0.000584205215359
TRBV24-1.TRBJ2-6	2	0.000106219130065
TRBV24-1.TRBJ2-5	13	0.000690424345425
TRBV24-1.TRBJ2-4	1	5.31095650327e-05
TRBV9-1.TRBJ2-7	160	0.00849753040523
TRBV4-3.TRBJ2-1	54	0.00286791651176
TRBV4-3.TRBJ2-2	28	0.00148706782091
TRBV4-3.TRBJ2-3	55	0.0029210260768
TRBV25-1.TRBJ2-4	2	0.000106219130065
TRBV21-1.TRBJ1-1	6	0.000318657390196
TRBV4-3.TRBJ2-4	2	0.000106219130065
TRBV21-1.TRBJ1-3	2	0.000106219130065
TRBV21-1.TRBJ1-2	3	0.000159328695098
TRBV21-1.TRBJ1-5	3	0.000159328695098
TRBV4-3.TRBJ2-5	47	0.00249614955654
TRBV9-1.TRBJ2-6	5	0.000265547825163
TRBV21-1.TRBJ2-3	4	0.000212438260131
TRBV21-1.TRBJ2-1	1	5.31095650327e-05
TRBV21-1.TRBJ2-7	12	0.000637314780392
