	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	3	6	2493	0	0	2	8	0	0	14	1	0	2	11	4	1	5	0	7	3	12	0	0	0	3	0	0	0	31	5	2	872	10	0	5	9	4	0	3	0	13	16	0	0	0	0	0	1	1	1	0	3	0	3	0
TRBJ2-5	0	24	146	53	0	29	12	901	2	7	414	16	1	29	120	14	12	22	3	39	0	95	13	0	20	46	2	7	8	105	171	23	6	104	7	51	34	53	8	24	0	36	66	5	0	4	2	0	0	1	30	55	14	15	40	0
TRBJ2-6	0	2	19	14	1	8	5	7	0	3	8	9	0	2	23	11	1	7	1	0	0	8	16	0	2	3	7	3	0	31	29	4	3	11	0	9	5	20	5	3	0	7	5	0	1	1	0	0	1	0	8	1	3	1	4	1
TRBJ2-7	1	83	159	432	1	81	280	385	2	23	158	63	0	175	225	38	21	847	25	135	5	274	108	0	51	111	30	6	15	400	157	157	145	398	3	183	44	137	63	217	1	167	513	54	1	27	0	0	13	3	82	114	59	26	87	0
TRBJ2-1	1	828	148	6726	0	20	46	60	1	44	1934	30	0	73	126	27	82	25	18	181	0	144	28	0	28	80	9	7	46	303	152	17	27	70	0	570	113	110	31	40	0	80	125	34	0	15	0	1	1	2	61	29	41	79	49	0
TRBJ2-2	0	43	76	38	0	12	11	42	0	44	27	9	0	26	59	16	31	5	24	25	1	72	21	1	28	59	10	2	9	298	52	8	10	124	5	18	53	36	7	55	0	25	88	1	4	18	0	0	0	0	17	22	48	22	25	0
TRBJ2-3	1	72	77	187	0	23	42	38	2	39	62	22	0	103	93	55	9	39	2	70	0	91	16	0	22	200	3	4	6	152	65	13	15	68	3	60	59	93	6	44	1	37	88	9	0	74	0	0	3	0	29	16	5	26	23	0
TRBJ1-6	0	0	103	42	0	7	3	52	0	2	17	11	0	1	54	14	9	67	3	7	1	73	57	0	0	52	2	0	0	55	39	4	8	26	2	56	9	22	108	17	0	63	39	4	0	1	0	0	1	0	0	4	0	58	29	0
TRBJ1-5	0	36	166	113	0	17	45	95	0	10	82	52	0	3	176	343	9	18	16	75	0	45	28	0	18	89	24	10	1	272	139	124	5	64	1	11	6	25	7	2	1	108	408	32	0	3	0	0	5	2	31	3	6	4	41	0
TRBJ1-4	4	8	19	64	0	28	19	29	0	0	33	7	0	9	38	24	6	13	7	22	0	48	7	0	3	31	2	35	0	45	71	28	4	180	1	26	21	75	1	14	0	55	42	2	0	0	0	0	1	57	6	1	8	2	22	0
TRBJ1-3	1	14	15	15	0	98	7	51	0	36	133	13	0	15	43	6	0	103	10	11	0	26	10	1	3	19	3	3	0	28	21	5	4	38	2	11	30	20	2	4	0	31	36	151	0	0	0	0	1	2	1	2	3	11	28	0
TRBJ1-2	0	88	231	210	0	19	230	345	0	21	184	117	0	18	391	241	31	562	20	93	5	190	83	2	229	109	14	14	3	395	128	69	34	229	2	129	68	192	15	67	0	190	223	11	0	17	1	1	13	12	46	13	16	22	250	0
TRBJ1-1	2	73	178	341	0	61	67	83	0	46	228	302	0	34	170	33	27	63	17	77	0	220	58	0	7	92	17	5	36	353	334	20	40	203	0	143	66	118	13	59	0	101	145	27	0	13	0	0	4	23	31	114	23	64	84	0
