	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV10-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV29-or09_02	TRBV16-1	TRBV24-1	TRBV4-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	5	33	9	0	3	35	3	0	0	0	76	9	0	2	30	25	4	0	11	16	25	2	0	13	16	0	2	11	27	17	0	80	26	5	2	10	2	19	19	26	9	475	0	11	23	6	18	2	2	26	0	5	3	21	2	5	18	10
TRBJ2-5	1	106	153	175	0	18	95	18	1	2	0	1451	100	0	118	230	262	116	0	528	69	278	5	0	567	63	0	67	32	23	16	32	11019	190	86	39	688	0	228	297	270	58	233	0	51	109	171	23	254	1	4	0	1	54	45	5	310	40	155
TRBJ2-6	0	5	456	61	0	5	18	5	0	3	0	32	5	0	0	27	30	2	0	7	7	70	0	0	201	32	0	5	6	4	1	2	30	22	2	3	14	0	129	67	67	0	31	0	10	37	1	0	3	0	4	0	2	1	20	4	26	6	36
TRBJ2-7	30	305	980	1660	24	182	560	264	3	3	0	814	782	3	49	877	352	1846	0	2198	177	556	7	1	1182	206	0	143	149	99	603	3	12007	7712	81	118	1345	8	4293	1078	719	319	441	3	342	1007	859	41	279	1	152	0	2	202	4111	37	168	39	619
TRBJ2-1	3	67	1465	437	0	48	242	453	2	2	1	1428	205	1	70	369	345	99	0	81	60	589	12	1	516	599	0	24	92	44	46	34	4263	691	65	90	431	1	196	397	306	5349	1201	5	81	237	322	39	64	0	4	0	31	315	144	28	1302	110	319
TRBJ2-2	0	85	529	153	0	18	52	81	5	0	0	1174	134	1	128	467	127	54	1	67	17	134	0	0	527	109	0	25	72	9	18	575	452	103	27	17	285	0	144	266	154	46	128	0	33	406	2374	2	124	0	2	0	1	93	512	25	189	57	125
TRBJ2-3	1	175	300	358	0	59	853	38	0	0	1	331	231	0	341	164	141	85	0	87	66	508	1	0	682	61	0	32	120	19	13	10	867	182	186	62	299	1	744	396	420	38	164	0	210	236	26	13	72	14	2	0	0	75	112	22	64	156	78
TRBJ1-6	0	9	143	180	0	2	61	2	1	1	0	273	14	0	0	827	194	8	0	50	10	273	3	0	156	10	0	3	0	5	12	0	104	109	20	2	201	0	35	44	259	5	9	0	15	65	6	0	99	0	11	0	0	2	49	682	21	3	204
TRBJ1-5	0	21	418	647	0	73	245	2	0	1	1	272	137	0	85	895	149	208	1	66	24	285	1	0	199	98	0	61	320	29	32	310	455	261	58	6	260	1	19663	78	1720	9	37	0	150	339	18	14	92	2	35	0	1	41	101	26	68	13	167
TRBJ1-4	1	33	106	81	0	17	25	17	0	0	0	92	52	0	19	71	42	24	0	65	9	48	1	0	209	226	0	5	44	22	1	0	601	97	100	5	158	0	46	130	109	25	25	0	31	141	2	0	21	0	2	1	0	6	75	8	4839	1	163
TRBJ1-3	0	26	160	100	0	15	12	7	0	2	0	2896	38	0	2	137	41	105	0	45	10	87	0	0	172	29	0	9	81	2	10	2	302	148	33	7	379	0	248	3247	120	18	27	0	23	34	6	0	39	0	0	0	0	3	139	4	1	17	59
TRBJ1-2	6	353	359	443	2	88	106	44	1	0	2	558	300	0	14	414	848	118	1	177	3264	440	7	0	619	427	1	58	168	62	94	4	1262	515	74	26	2194	1	2746	501	631	107	648	1	203	507	113	6	1522	0	3	0	4	43	319	89	140	83	295
TRBJ1-1	0	4837	1158	968	0	26	305	360	1	3	1	1857	110	0	40	443	339	187	0	348	51	248	4	0	1164	166	0	21	478	133	29	7	1232	416	29	107	461	2	407	501	1370	2100	231	0	242	628	25	9	142	0	7	0	2	35	149	19	138	33	198
