	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBVA-or09_02	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV28-1	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	3	9	1	0	1	1	8	0	0	1	30	1	0	1	20	15	0	0	3	0	9	0	0	7	6	0	0	10	3	2	0	16	8	2	0	3	3	0	0	4	3	8	0	37	0	3	8	0	0	11	1	0	18	0	2	4	0	13	2
TRBJ2-5	0	31	39	83	0	11	38	13	0	0	3	178	31	0	52	47	82	62	2	107	14	202	0	0	210	23	0	27	15	10	6	16	2484	116	27	0	14	179	0	0	42	134	96	25	68	0	15	28	14	0	8	73	0	2	1	14	8	83	6	33
TRBJ2-6	0	3	53	26	0	0	2	5	0	0	3	14	0	0	0	7	2	0	0	2	2	36	0	0	25	8	0	4	3	1	0	0	6	7	1	0	0	3	1	0	31	63	46	0	8	0	5	16	2	1	1	0	0	2	0	0	2	3	0	10
TRBJ2-7	0	62	217	609	8	94	231	849	2	0	45	260	208	0	20	331	108	411	0	443	46	158	0	0	518	89	3	51	94	87	307	1	3860	1272	25	1	31	419	4	0	923	238	268	156	151	0	98	551	320	0	9	67	3	55	0	40	45	45	7	122
TRBJ2-1	1	30	168	106	0	10	89	67	0	0	13	371	53	0	23	144	34	54	0	25	6	146	3	0	258	154	0	7	18	13	19	10	967	101	25	0	30	134	0	0	77	111	93	1174	125	1	34	71	30	0	6	40	0	0	9	64	115	299	41	73
TRBJ2-2	0	31	112	121	0	3	20	52	0	0	2	548	49	1	66	496	28	10	0	35	0	32	0	0	168	49	0	1	43	3	8	164	78	35	15	0	6	92	0	0	26	135	32	27	34	0	13	74	2099	0	1	47	0	2	1	12	22	28	25	42
TRBJ2-3	0	49	95	118	0	18	97	30	0	0	8	174	34	0	90	55	37	43	0	14	9	192	0	0	267	13	0	7	41	5	5	5	176	65	155	0	19	59	0	1	255	152	142	12	65	0	23	57	5	0	5	15	8	0	0	20	17	20	55	36
TRBJ1-6	0	6	65	63	0	0	33	4	0	0	48	57	0	0	0	354	56	2	0	4	3	93	0	0	66	5	0	1	1	2	9	0	29	53	3	0	5	58	0	0	16	17	66	0	7	0	0	20	10	0	0	28	0	3	0	1	0	17	0	113
TRBJ1-5	0	5	102	246	0	27	99	39	0	0	10	68	35	0	27	163	61	72	0	43	4	146	1	0	85	52	0	18	69	18	5	26	201	98	16	0	0	147	0	0	5650	24	483	0	14	1	28	107	7	0	4	47	0	8	2	15	2	36	2	38
TRBJ1-4	0	6	43	34	0	9	19	30	0	0	9	20	29	0	5	23	5	19	0	11	4	25	2	0	82	25	0	1	14	7	0	0	140	37	33	0	0	20	0	0	11	51	32	12	9	0	6	23	3	0	1	6	0	0	1	2	1	909	0	60
TRBJ1-3	0	25	72	62	0	0	17	64	0	1	0	424	9	0	0	49	4	37	0	16	1	16	0	0	47	8	0	3	24	0	1	0	132	57	10	0	2	97	0	0	76	453	23	11	1	0	7	18	2	0	0	15	0	2	1	3	1	2	1	11
TRBJ1-2	2	150	115	139	8	12	47	99	0	0	17	131	69	0	2	103	160	15	0	59	255	166	0	0	149	67	0	28	56	17	14	3	500	170	29	0	19	350	0	0	466	194	169	25	322	0	74	150	28	0	1	159	0	5	4	12	14	47	31	150
TRBJ1-1	0	742	254	328	0	15	30	33	1	0	8	717	52	1	3	182	148	39	0	52	23	133	1	1	263	67	0	9	146	20	18	1	291	210	16	0	43	183	0	0	102	163	197	619	74	0	58	151	15	0	2	68	1	4	2	7	115	42	8	51
