	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	0	7	0	6	0	3	3	1	0	0	0	2	0	5	3	2	12	0	2	0	1	3	4	5	0	1	1	1	0	0	18	3	22	0	53	0	0	2	5	2	0	5	1	0	2	1	1	2	0	1	2	2	2	0	1
TRBJ2-5	1	14	30	9	64	0	90	10	14	0	1	0	39	7	57	2	18	47	13	37	8	35	0	44	10	0	7	17	14	11	4	102	36	14	18	29	0	0	58	26	6	2	35	0	0	2	11	0	0	2	5	0	8	9	9	21
TRBJ2-6	0	6	4	1	10	0	9	8	3	0	0	0	3	0	5	0	2	17	2	3	0	3	0	11	1	0	0	1	1	1	4	8	4	6	2	14	2	1	8	11	0	0	7	0	0	0	3	0	0	0	2	0	22	2	5	3
TRBJ2-7	1	266	84	493	82	18	87	130	194	1	0	1	39	17	95	14	52	94	98	58	18	22	0	75	43	0	12	17	14	11	3	173	131	27	13	282	0	0	377	58	51	0	97	2	0	3	123	0	6	0	13	0	7	11	13	22
TRBJ2-1	1	24	69	40	30	5	29	43	10	0	0	0	39	8	60	16	44	74	12	15	13	15	3	53	16	1	4	44	1	6	4	158	110	11	24	64	0	0	57	86	9	0	30	1	0	7	12	0	1	0	17	0	53	8	62	17
TRBJ2-2	0	17	72	32	15	2	26	15	137	0	1	0	18	7	33	7	6	70	9	9	3	16	1	24	4	0	0	16	2	4	1	110	52	9	1	45	0	0	131	17	4	0	11	7	0	5	28	0	1	9	17	4	38	10	27	27
TRBJ2-3	1	20	109	23	44	2	31	31	16	0	0	1	19	12	54	18	16	50	10	28	6	21	2	74	12	0	7	15	7	7	5	110	43	12	34	40	1	0	57	31	5	2	34	3	0	4	21	0	1	1	15	4	83	11	433	24
TRBJ1-6	0	3	52	39	36	4	16	6	5	1	0	0	11	2	23	2	7	148	1	9	3	9	3	14	0	0	2	19	2	0	0	50	17	2	5	42	0	0	98	7	6	1	46	0	0	0	10	0	1	4	1	22	7	3	14	18
TRBJ1-5	0	4	150	17	84	1	71	9	8	0	2	0	38	11	27	6	7	103	4	23	42	10	0	16	7	0	16	32	11	7	0	108	26	49	2	39	1	0	12	20	1	0	39	1	0	0	27	2	3	0	0	3	1	1	8	34
TRBJ1-4	0	98	42	19	9	1	10	13	3	0	0	0	7	7	17	0	3	10	8	7	2	7	1	19	11	0	1	8	2	0	0	22	68	40	4	20	0	0	13	6	0	0	21	1	0	1	10	0	0	0	2	2	1	4	1	5
TRBJ1-3	0	23	13	47	12	2	8	55	14	0	1	0	55	7	19	1	7	18	5	12	14	6	0	23	0	0	0	22	4	3	0	106	19	6	4	16	0	0	109	5	3	0	38	0	0	0	5	0	0	0	18	3	0	0	6	11
TRBJ1-2	0	43	173	47	82	38	70	30	146	1	0	0	165	23	139	5	32	120	24	66	12	44	4	32	25	0	11	47	4	4	0	137	105	26	42	76	3	0	109	36	13	0	101	4	1	3	31	1	6	0	4	3	54	11	26	17
TRBJ1-1	6	61	77	28	32	6	80	46	8	0	1	0	33	22	47	2	57	79	5	21	5	28	1	38	20	0	10	23	1	5	2	315	99	33	26	87	0	0	86	19	554	0	71	3	0	2	18	0	3	0	6	0	26	10	36	19
