	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBVA-or09_02	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	18	110	50	44	5	11	27	0	0	2	36	12	1	1	31	40	5	0	29	7	29	0	0	45	16	0	4	18	6	4	0	132	56	0	0	22	35	2	0	18	21	41	37	7	0	0	42	9	0	15	0	0	2	6	15	8	2	29
TRBJ2-5	2	184	292	480	256	130	147	143	0	3	27	324	105	2	69	225	232	88	0	198	37	316	3	0	325	88	1	40	135	27	4	35	741	341	158	1	165	422	2	0	117	861	353	158	235	0	0	221	21	17	111	1	14	1	81	26	49	100	155
TRBJ2-6	0	25	81	66	43	11	18	44	0	0	22	70	12	1	3	54	31	5	1	15	9	49	0	0	57	15	2	11	24	8	3	0	60	51	9	0	38	40	2	2	53	45	42	11	16	0	0	61	4	1	14	0	14	0	16	1	4	8	45
TRBJ2-7	21	382	1571	2422	840	274	478	803	5	4	31	1000	451	7	164	1021	737	254	2	364	399	1091	25	0	681	294	14	248	722	68	50	182	2265	944	272	0	366	1178	6	0	627	618	1126	136	496	11	2	843	1070	29	547	3	32	24	298	127	148	204	476
TRBJ2-1	7	235	954	1753	315	1522	694	309	2	2	246	555	165	2	212	548	464	227	0	122	57	514	16	0	557	161	2	67	566	73	25	48	1339	680	450	3	144	651	18	0	287	563	577	60	241	2	0	810	97	20	152	6	12	31	210	85	104	318	330
TRBJ2-2	1	159	386	1119	123	159	183	141	2	0	67	272	59	0	143	261	147	78	0	87	33	207	5	0	259	145	0	151	155	23	29	44	495	220	58	0	68	287	3	0	115	583	226	35	151	0	0	284	43	22	100	0	10	9	141	43	35	66	120
TRBJ2-3	5	187	627	740	256	161	483	359	4	0	113	329	175	11	87	338	310	122	0	140	82	306	1	0	348	147	1	21	181	27	56	14	697	499	108	0	235	278	6	0	169	424	291	85	168	0	0	179	28	74	84	1	11	9	149	30	55	187	231
TRBJ1-6	0	1	163	198	158	17	2	141	0	0	15	310	80	0	3	193	40	23	0	45	15	208	2	0	240	69	0	300	183	3	0	4	552	101	30	0	84	232	2	0	24	269	95	15	63	0	0	62	4	9	50	5	17	2	22	7	22	57	56
TRBJ1-5	4	78	1232	1228	487	29	53	176	0	0	63	563	223	1	9	707	373	63	1	108	30	247	75	0	163	86	0	46	458	31	12	5	884	725	121	0	215	528	3	0	73	125	133	19	55	0	0	705	21	0	239	0	13	7	226	37	13	24	519
TRBJ1-4	1	195	146	182	135	48	122	110	0	0	14	196	89	0	4	205	43	24	0	53	24	102	5	0	134	37	1	24	87	14	0	7	200	162	40	0	27	204	1	0	76	161	183	6	69	0	0	177	17	15	22	0	15	6	11	9	44	12	136
TRBJ1-3	0	106	182	172	96	20	53	39	0	0	19	333	39	1	2	126	37	56	0	38	23	74	2	0	103	37	1	11	67	13	0	7	375	140	14	0	38	129	0	0	95	103	143	8	25	1	0	112	7	5	44	0	6	3	15	39	20	19	73
TRBJ1-2	4	536	923	1541	676	618	195	400	2	3	59	1020	250	22	11	758	410	45	0	353	70	399	7	1	576	227	4	48	681	65	18	3	798	687	75	0	138	607	19	0	225	376	466	105	306	4	0	612	70	60	140	0	16	20	239	75	114	48	332
TRBJ1-1	3	246	983	1090	435	298	284	154	7	1	38	493	180	19	85	561	259	101	0	113	60	337	10	0	470	123	4	94	352	48	45	8	757	487	105	0	130	375	1	0	236	575	430	315	181	1	0	366	186	19	243	2	19	11	75	52	63	295	344
