	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV12-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	5	7	22	65	8	8	7	17	0	0	0	5	0	0	1	3	2	1	0	5	1	12	0	2	0	5	8	1	1	0	42	27	1	0	30	0	7	0	0	1	0	23	0	0	0	1	0	0	0	0	1	1	0	4
TRBJ2-5	2	32	37	245	40	122	71	33	20	0	0	8	167	17	0	9	18	13	20	0	35	106	6	0	50	0	15	10	10	9	3	150	82	22	53	110	1	108	3	6	85	0	76	1	5	3	7	0	0	0	39	5	17	20	82
TRBJ2-6	0	10	7	5	13	5	9	2	1	0	0	10	6	5	0	12	1	0	1	0	5	0	2	0	4	0	2	6	0	0	0	9	5	4	0	7	0	7	19	0	2	1	4	0	1	1	0	0	0	0	1	0	1	2	1
TRBJ2-7	0	191	467	853	311	139	420	89	185	1	0	44	343	47	0	124	101	67	94	0	78	37	42	2	223	1	32	26	5	52	8	480	259	29	35	162	7	140	34	15	167	0	86	2	116	3	28	1	1	16	45	41	185	21	50
TRBJ2-1	3	41	128	381	219	99	165	104	73	0	0	33	114	13	0	45	33	36	22	0	13	8	66	4	389	0	12	51	7	2	22	542	97	24	11	94	12	175	35	19	28	0	566	1	6	4	41	0	2	0	18	20	30	121	75
TRBJ2-2	1	46	51	86	53	12	56	40	35	0	1	20	67	376	0	23	17	3	11	0	9	5	11	1	47	0	4	57	3	1	7	89	27	10	3	85	0	46	37	9	168	0	36	0	12	0	8	0	1	3	22	16	3	41	7
TRBJ2-3	1	33	27	79	102	44	91	89	55	0	0	44	103	8	0	8	40	18	13	0	35	2	9	0	87	0	6	24	2	2	1	125	128	3	16	79	1	149	19	18	12	0	79	0	15	1	13	0	2	2	41	191	10	32	14
TRBJ1-6	0	4	47	10	14	2	12	0	4	0	0	7	151	2	0	3	2	2	17	0	11	3	10	4	23	0	0	29	2	0	0	18	4	2	1	16	0	63	0	3	2	0	4	0	3	0	0	0	0	1	0	0	1	9	2
TRBJ1-5	7	1	223	180	60	23	49	35	22	0	0	4	145	31	1	4	7	5	6	1	11	2	4	5	22	1	17	71	5	4	0	85	40	5	11	32	0	24	11	9	0	0	148	2	3	2	12	0	2	0	8	3	1	0	92
TRBJ1-4	0	32	22	70	29	1636	14	6	13	0	0	0	15	9	0	0	9	5	14	0	2	4	3	3	15	0	0	41	4	3	1	28	19	44	0	13	0	33	15	4	8	0	130	0	1	0	6	0	1	0	94	2	1	1	37
TRBJ1-3	0	14	4	5	17	11	12	27	7	0	0	0	37	29	0	0	1	4	8	0	19	1	4	0	58	0	0	11	1	0	0	37	104	13	2	22	0	60	1	4	3	0	63	0	3	1	0	0	0	0	1	7	0	4	14
TRBJ1-2	0	59	80	416	130	115	42	9	26	0	0	4	113	9	0	30	13	11	4	0	73	20	52	3	77	0	21	22	4	2	0	88	85	16	22	65	3	86	10	19	21	0	81	0	16	4	20	0	6	0	15	5	40	11	34
TRBJ1-1	0	26	414	253	85	31	69	38	85	1	0	7	83	76	0	4	28	8	48	0	19	10	23	2	81	0	0	24	7	2	2	101	119	17	31	55	0	303	17	10	57	1	115	0	114	44	11	0	3	0	0	11	14	54	61
