	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	0	0	31	1	1	1	0	0	0	0	2	8	0	0	0	0	0	1	1	17	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TRBJ2-5	0	1	5	11	3	4	9	13	4	0	0	0	3	0	10	1	15	6	4	1	3	2	0	7	3	0	1	0	0	2	14	1	4	26	12	0	14	0	1	1	6	3	0	2	2	0	0	1	1	9	4	10
TRBJ2-6	1	0	12	0	1	0	4	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	1	0	2	9	0	0	0	0	0	0	0	0	1	5	2	1	0	0	0	1	0	0	1	0
TRBJ2-7	0	1	17	77	8	53	40	5	26	0	0	0	14	3	26	0	29	53	10	3	2	2	0	43	5	2	13	2	0	2	45	11	16	40	31	0	13	50	13	0	26	79	3	5	0	1	0	11	7	3	6	3
TRBJ2-1	0	28	12	216	8	17	26	10	4	0	0	3	23	5	10	7	3	4	3	4	0	2	0	14	9	3	3	0	0	2	14	7	24	4	6	1	20	12	2	0	10	2	1	8	0	0	0	5	1	2	17	15
TRBJ2-2	0	1	8	80	12	22	67	11	87	0	0	0	63	1	2	3	7	5	3	4	0	0	0	12	4	29	1	2	0	3	14	4	5	1	19	0	6	2	0	0	9	3	2	0	0	0	0	4	3	0	3	0
TRBJ2-3	0	4	10	11	13	12	6	2	8	1	0	2	115	5	7	1	78	18	4	2	0	3	0	36	3	1	0	0	0	0	8	7	2	1	12	1	12	50	2	0	8	0	3	4	0	0	0	1	1	2	9	3
TRBJ1-6	0	0	8	24	7	64	7	2	15	0	0	2	11	5	14	0	0	6	0	0	0	2	0	5	4	0	3	0	0	0	11	3	0	9	2	1	5	3	0	0	2	0	3	2	0	0	0	2	0	0	9	2
TRBJ1-5	0	4	27	76	2	118	4	0	6	0	1	3	4	12	14	0	0	17	0	0	3	13	0	6	3	0	4	0	0	0	11	8	3	0	3	0	1	2	1	0	2	5	0	3	0	0	0	7	0	0	14	7
TRBJ1-4	0	0	2	3	0	14	10	4	0	0	0	0	1	0	3	0	3	1	0	2	0	0	0	4	2	0	1	0	0	0	1	2	1	0	3	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
TRBJ1-3	0	0	4	8	0	10	7	1	0	0	0	0	8	2	0	0	4	0	1	0	6	0	0	7	1	0	1	0	0	0	1	3	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1
TRBJ1-2	1	11	36	18	13	43	13	3	13	0	0	0	62	11	9	0	10	8	0	2	2	3	1	11	4	0	19	0	0	0	46	9	2	1	9	0	10	1	2	0	15	7	0	4	0	0	1	2	0	1	1	7
TRBJ1-1	0	13	11	74	12	24	24	5	7	0	0	0	11	4	6	0	10	42	3	7	2	4	0	21	2	2	1	7	0	0	39	15	1	16	8	0	3	51	4	0	7	0	1	1	0	1	0	2	2	0	10	20
