	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV5-4	TRBV8-2	TRBV5-1	TRBV10-3	TRBV5-8	TRBV21-1	TRBV30-1	TRBV6-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV9-1	TRBV4-2	TRBV13-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV7-5	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	0	2	5	4	0	0	1	1	0	1	10	0	0	0	0	1	0	0	0	0	0	0	4	1	0	1	1	1	0	0	5	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3
TRBJ2-5	0	1	7	8	8	12	1	3	1	0	0	5	2	12	0	5	6	2	0	2	1	3	0	20	5	0	3	4	3	0	4	32	9	2	62	4	16	1	1	5	0	2	0	2	1	0	0	1	0	3	2	15
TRBJ2-6	1	1	10	1	2	5	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	3	5	14	0	0	0	0	0	0	0	0	0	0
TRBJ2-7	0	6	13	29	15	79	12	17	0	0	0	7	5	20	0	11	93	18	0	16	2	6	0	37	9	1	2	5	18	0	0	26	20	6	61	59	13	7	2	35	101	0	9	0	1	1	0	24	6	2	10	4
TRBJ2-1	0	9	7	17	13	12	4	2	0	0	1	23	2	14	9	3	9	13	0	3	0	3	0	18	5	0	1	4	8	1	1	24	14	8	3	10	12	2	1	11	2	0	4	0	0	0	0	1	0	0	11	41
TRBJ2-2	0	2	3	1	43	53	2	0	0	0	0	7	0	2	0	5	2	3	0	4	0	3	0	15	4	0	0	0	5	0	2	9	4	1	0	7	7	0	0	7	3	0	7	0	1	0	0	4	1	1	2	3
TRBJ2-3	0	7	24	7	42	4	5	3	0	0	1	8	2	11	1	5	6	8	0	3	2	0	0	36	2	0	2	2	7	0	0	17	3	2	2	17	15	7	0	10	3	1	4	0	0	0	0	2	1	2	6	8
TRBJ1-6	0	0	8	5	133	3	3	22	0	0	6	9	3	16	0	0	13	1	0	4	2	0	0	11	1	0	1	0	10	0	0	19	2	0	17	10	8	1	2	7	1	2	1	0	0	0	0	0	0	3	1	3
TRBJ1-5	0	24	33	4	17	4	4	4	0	2	1	6	9	16	0	1	4	9	0	1	5	0	0	2	4	2	1	0	13	0	0	31	3	4	0	5	4	2	0	8	0	0	1	0	0	0	0	1	0	2	4	9
TRBJ1-4	0	3	2	7	6	5	1	0	0	0	0	4	2	3	0	4	2	0	0	4	0	1	1	6	0	0	0	3	4	0	0	2	5	1	0	0	2	1	0	2	0	0	2	0	0	0	0	0	0	1	0	5
TRBJ1-3	0	2	3	12	7	1	0	0	0	0	0	3	0	2	0	0	0	0	0	1	2	0	0	3	2	0	0	3	3	0	0	5	3	1	0	5	5	0	0	1	0	0	3	0	0	0	0	0	0	5	1	1
TRBJ1-2	0	9	29	32	22	13	3	4	0	0	3	7	18	11	0	20	10	1	1	2	1	4	0	7	3	1	0	37	3	1	0	42	26	1	1	9	5	4	0	11	7	0	3	0	0	0	3	2	0	1	1	33
TRBJ1-1	0	6	18	199	30	40	8	3	0	0	4	10	5	8	0	10	16	3	0	6	2	9	0	13	5	1	1	7	11	4	0	46	18	0	0	15	2	2	0	10	1	2	9	0	2	0	0	0	7	1	5	31
