VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV26-1.TRAJ27	1	1.70321191703e-07
TRAV22.TRAJ42	1	1.70321191703e-07
TRAV26-2.TRAJ15	7	1.19224834192e-06
TRAV3.TRAJ39	2	3.40642383407e-07
TRAV26-1.TRAJ26	904	0.0001539703573
TRAV9-2.TRAJ11	8	1.36256953363e-06
TRAV10.TRAJ3	4	6.81284766813e-07
TRAV2.TRAJ23	41	6.98316885984e-06
TRAV2.TRAJ20	35565	0.00605747318293
TRAV2.TRAJ21	9999	0.00170304159584
TRAV2.TRAJ26	13	2.21417549214e-06
TRAV10.TRAJ6	4	6.81284766813e-07
TRAV10.TRAJ5	11	1.87353310874e-06
TRAV38-2DV8.TRAJ27	5636	0.00095993023644
TRAV38-2DV8.TRAJ29	2	3.40642383407e-07
TRAV10.TRAJ9	19541	0.00332824640707
TRAV2.TRAJ29	37230	0.00634105796711
TRAV40.TRAJ47	216	3.67893774079e-05
TRAV23DV6.TRAJ6	1	1.70321191703e-07
TRAV29DV5.TRAJ44	2	3.40642383407e-07
TRAV8-5.TRAJ32	6	1.02192715022e-06
TRAV8-5.TRAJ31	2	3.40642383407e-07
TRAV29DV5.TRAJ40	7	1.19224834192e-06
TRAV29DV5.TRAJ41	70	1.19224834192e-05
TRAV8-5.TRAJ34	56	9.53798673539e-06
TRAV8-2.TRAJ49	2	3.40642383407e-07
TRAV29DV5.TRAJ48	319	5.43324601534e-05
TRAV29DV5.TRAJ49	685	0.000116670016317
TRAV20.TRAJ23	4	6.81284766813e-07
TRAV9-2.TRAJ4	9	1.53289072533e-06
TRAV19.TRAJ15	19705	0.00335617908251
TRAV19.TRAJ17	6	1.02192715022e-06
TRAV19.TRAJ10	29	4.9393145594e-06
TRAV19.TRAJ11	597100	0.101698783566
TRAV19.TRAJ12	4	6.81284766813e-07
TRAV19.TRAJ13	13	2.21417549214e-06
TRAV25.TRAJ26	7	1.19224834192e-06
TRAV14DV4.TRAJ11	40	6.81284766813e-06
TRAV14DV4.TRAJ12	1336	0.000227549112116
TRAV14DV4.TRAJ13	1176	0.000200297721443
TRAV26-2.TRAJ20	10	1.70321191703e-06
TRAV25.TRAJ20	354	6.0293701863e-05
TRAV25.TRAJ21	9221	0.0015705317087
TRAV38-1.TRAJ11	7	1.19224834192e-06
TRAV38-1.TRAJ15	1	1.70321191703e-07
TRAV8-3.TRAJ13	629	0.000107132029581
TRAV24.TRAJ5	2	3.40642383407e-07
TRAV26-2.TRAJ27	2	3.40642383407e-07
TRAV39.TRAJ42	1	1.70321191703e-07
TRAV3.TRAJ10	2043	0.00034796619465
TRAV3.TRAJ11	20	3.40642383407e-06
TRAV13-2.TRAJ5	3	5.1096357511e-07
TRAV3.TRAJ15	3	5.1096357511e-07
TRAV3.TRAJ17	9677	0.00164819817211
TRAV2.TRAJ22	2	3.40642383407e-07
TRAV24.TRAJ26	1	1.70321191703e-07
TRAV25.TRAJ54	2	3.40642383407e-07
TRAV38-2DV8.TRAJ22	4042	0.000688438256865
TRAV22.TRAJ32	935	0.000159250314243
TRAV8-5.TRAJ43	346	5.89311323293e-05
TRAV39.TRAJ13	1	1.70321191703e-07
TRAV12-3.TRAJ34	1	1.70321191703e-07
TRAV8-5.TRAJ49	94	1.60101920201e-05
TRAV12-3.TRAJ22	78	1.32850529529e-05
TRAV1-2.TRAJ41	1	1.70321191703e-07
TRAV12-3.TRAJ20	4	6.81284766813e-07
TRAV1-2.TRAJ43	1	1.70321191703e-07
TRAV12-3.TRAJ26	23	3.91738740918e-06
TRAV2.TRAJ24	1	1.70321191703e-07
TRAV12-3.TRAJ24	270	4.59867217599e-05
TRAV8-2.TRAJ3	1	1.70321191703e-07
TRAV12-3.TRAJ28	429	7.30677912407e-05
TRAV10.TRAJ4	10	1.70321191703e-06
TRAV14DV4.TRAJ22	1	1.70321191703e-07
TRAV2.TRAJ58	1	1.70321191703e-07
TRAV5.TRAJ28	1	1.70321191703e-07
TRAV5.TRAJ26	5288	0.000900658461727
TRAV34.TRAJ17	8	1.36256953363e-06
