	TRAV19	TRAV10	TRAV16	TRAV17	TRAV2	TRAV3	TRAV4	TRAV5	TRAV6	TRAV8-1	TRAV8-3	TRAV8-2	TRAV8-5	TRAV8-4	TRAV9-2	TRAV8-6	TRAV1-1	TRAV29DV5	TRAV38-1	TRAV22	TRAV21	TRAV20	TRAV27	TRAV8-7	TRAV25	TRAV24	TRAV41	TRAV40	TRAV1-2	TRAV36DV7	TRAV26-1	TRAV26-2	TRAV38-2DV8	TRAV12-1	TRAV12-3	TRAV12-2	TRAV34	TRAV35	TRAV23DV6	TRAV30	TRAV13-1	TRAV13-2	TRAV14DV4	TRAV39
TRAJ24	0	1	0	0	1	0	0	0	0	0	1087	0	15	0	0	0	65	0	0	0	0	1	0	0	1	0	1	0	1100	1	0	0	0	0	270	3	0	183	0	0	0	0	0	0
TRAJ45	32	2	0	5	16	0	39	12	0	1	0	22	0	1	0	1	1	153	0	3276	1213	8	1	0	9	2	3	0	0	17	11452	35477	4815	1	135	37	11923	0	1	1	30209	3	0	1
TRAJ22	2	6	0	0	2	1	0	1	2	1	0	0	0	0	1650	0	62	171	1	0	2835	36704	0	0	0	1914	0	0	1563	10	1	0	4042	1	78	7089	23	0	0	1	4	2068	1	0
TRAJ47	30	26178	0	9886	16	4	6	23	3	2	218	0	0	2	0	0	0	0	2	0	254	34	1	0	20	1	41	216	0	141519	4	0	2	9	0	24	24	0	66	21	23820	1	6141	1
TRAJ53	21	10	233	29921	8	0	65	4	0	2	2	0	0	1	0	0	0	275	7808	0	1	54435	0	0	1	1	43525	0	0	28	49844	9	2	0	0	11	5	0	0	1	17	1	1478	0
TRAJ30	3	7	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	2604	0	0	0	0	0	1	4	1	0	0	2	294	10424	35	74	0	0	2	0	0	0
TRAJ31	2	8	0	2	5	0	7401	2	1	2	142	1	2	1360	0	192	615	0	0	0	1352	2	0	0	4	1	1	0	214	4	28441	7311	0	2096	1153	6463	30	0	0	1	0	0	0	0
TRAJ32	14	2	0	0	1	1	6	10755	0	2010	4646	0	6	1	0	0	0	1323	2083	935	1	2	0	55	2	0	1	0	0	4	7	0	0	0	0	4	1	0	283	1	2	0	3	1
TRAJ15	19705	51049	0	4400	5	3	26	13	1	8	3887	2183	1016	5	0	207	14	0	1	0	6407	15	2	1	9	0	37	0	394	47572	28573	7	2	16	66	39	5	0	1	2	11	2	1	1
TRAJ34	57	6	0	10	30	6617	85016	13	0	10656	14722	0	56	3	605	0	0	4925	1	0	3	6	15253	4	6	0	37	0	0	28245	130510	682	2	3	1	1957	13	0	0	8	12	3	278	1
TRAJ13	13	11	0	1958	2	0	3	5	1	13547	629	169	3	1	0	17	0	2	0	1	7421	21971	4	0	6	411	3	0	0	15	4	0	0	1	959	978	46296	0	0	1	4	0	1176	1
TRAJ10	29	18417	0	29899	6	2043	531	5	3	4	1	0	0	0	0	0	21645	0	0	9	3	2	0	0	10	1	3	0	7425	12	16	2	1	1458	450	4539	16	0	0	23	8086	1	0	0
TRAJ11	597100	8	0	8371	32	20	188392	27460	1	20	4	1893	0	2135	8	371	7	235	7	0	6	21	1	0	29	0	5	0	3	19	260	39	4	4	0	8	1	1	0	1	8912	1100	40	2
TRAJ52	16	6	0	3	11	5	13	9	0	1	2	4677	0	13	840	411	0	1629	1	0	225	15	0	0	5	0	7	0	1	27758	20	13755	5	4109	649	161	4	0	0	0	4799	2	14479	1
TRAJ39	15	8	0	21064	10	2	15	4526	1927	3	2	0	0	2	0	0	757	1	1680	0	3130	16	0	0	19	93	10	0	4891	5990	17125	4331	4622	2	18	6652	24	0	0	1	15726	0	0	1
TRAJ50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1460	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1026	62	0	0	0	1	2708	0	0	0
TRAJ56	19130	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	76	0	4	4	0	0	4	0	3	0	0	1	1	0	2	1	89	2899	12197	0	0	1	3	4514	8764	0
TRAJ57	3	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	187	1	0	0	0	0	0	0	0	1	0	0	10999	0	0	0	0	0	0	1	0	0	1345	4383
TRAJ54	3	2	0	36010	9	2	1	4	0	2	0	0	2	1	478	0	0	270	5224	0	75	1	0	0	2	0	0	0	0	4	2	0	2820	1	0	0	0	0	0	0	1	8439	5896	0
TRAJ4	7	10	0	4	62359	49100	26	3	1	0	5	300	0	3	9	102	0	319	0	0	131	15312	0	0	6	0	6	0	0	6	4	7	3	1304	0	3	1	0	0	2	3019	0	1853	0
TRAJ5	15	11	1	2	4	1229	5	4	4203	3083	1	0	0	23	0	421	228	0	3	597	2586	28124	0	0	7	2	1	0	85	8	8	8999	4	6	41	7489	37	0	2	2	979	3	23767	0
TRAJ6	21	4	0	3	2	5	0	11458	1	4	3078	5	6	3153	0	370	97	1	1	0	0	16	0	5	7	0	4	0	3422	13	0	0	0	1	37	4733	21	0	1	2	55942	2	2	0
TRAJ7	1	0	0	0	0	0	0	1	0	0	1314	0	113	0	0	0	0	0	0	0	0	0	0	1	0	1046	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TRAJ3	21	4	0	5	16	1	50499	44266	3	2	1	1	0	0	0	0	0	0	1	0	2	2	0	0	6	0	8	0	0	9	21878	17	0	0	0	5	9	0	1	0	17	2	1030	0
TRAJ37	2965	10	0	137516	275295	49	76	14	6611	1	10	1	0	1	1	0	2	2	1	0	5	22	866	0	178709	0	0	0	101	27	21451	129	2	0	234	3	0	1	1	41	20	3837	0	5
TRAJ8	1	18	0	2	8	2871	56928	3	4776	4	1	0	0	0	0	1	4	0	1	0	0	6	0	0	6	0	1	0	30	3	60	8	0	6592	6	4200	13	0	1	2	3	0	0	0
TRAJ9	14	19541	0	17115	94471	5	10	40782	2	4	1	2965	0	5	0	226	1	0	0	0	4	8	1	0	11	1	7	0	2	24	3	2	0	19867	20	9917	33	1	0	18	1675	5	5	0
TRAJ16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAJ17	6	1	0	13	26773	9677	11	4	0	4	1	0	0	1	0	43	117	0	0	0	956	8	0	0	58163	0	2	0	2401	4	1	2	1	0	3	2304	8	0	0	9	5434	0	0	0
TRAJ58	8	1	0	0	1	0	34	0	0	0	0	1	0	111	0	512	0	0	0	0	1	1	0	0	0	0	1	0	0	0	44817	13	1	0	0	0	1	0	0	7	0	0	0	0
TRAJ18	0	233	0	1266	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	0	0	1	1469	69	1	0	0	1	3	0	0	1
TRAJ38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	2	0	0	0
TRAJ12	4	1	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	11	0	1	0	2	0	0	5	0	0	1	0	87	2547	9	0	0	0	10953	1	1336	0
TRAJ49	4	4	0	7499	4	2	5	0	0	2	1376	2	94	3495	0	429	0	685	0	0	704	3	1	0	3	1529	1	0	0	3	2	3389	1636	4	1637	2722	9	47	63	0	2921	0	1	0
TRAJ48	8	1	0	3	4	0	51	1	0	0	1	1	0	85	884	1442	0	319	595	0	1	4	0	0	3	0	1	0	0	1	96681	16	3416	3	13	6346	37	0	0	1	854	0	1	0
TRAJ36	8527	0	1136	146	5	7699	8	2	0	26424	5	1	1	194	85	3811	53	0	1	0	1	2	0	0	2	0	0	0	1580	6	3	0	1	0	0	1	1	665	0	0	2	0	2	3
TRAJ29	8530	1	0	24963	37230	0	10	3	0	0	10	2	0	1375	0	127	1	1	1	182	114	4	0	0	2	285	0	0	0	6	0	1	2	0	0	0	1	0	0	0	11964	0	1	1
TRAJ28	5	4	0	1701	2	21	1	1	0	0	0	0	0	62	5	14	21	0	0	0	0	0	0	0	1	0	0	0	6	2	0	0	0	3174	429	20	1	0	394	0	0	0	1	0
TRAJ27	11607	1	0	2	0	0	2	0	1	3	605	0	1405	0	0	0	0	0	1	0	740	4	1042	0	6	0	2	0	0	1	1	2	5636	0	0	1	0	0	0	2	1	0	1	11536
TRAJ40	7	46783	0	3	1	2	15	6	0	1	0	0	0	1	0	0	2	7	3211	851	1	2	0	0	6	0	10	0	1	5	12844	5	1	11	0	9	5	0	0	3	1	0	1	0
TRAJ43	12230	42	0	13	13	0	8	908	2	4	1461	4748	346	802	264	461	1	0	0	1	4	17	3	0	26	2	104940	0	1	70	5	2	4143	2225	34	18690	105581	1	1	1287	4724	0	1	0
TRAJ42	37	12	0	12377	68	15	362023	15	0	7	22	1	0	13	1577	2	0	0	4	1	3005	13	2229	0	85512	0	5	0	0	1	32355	20152	18687	0	6	478	3	0	0	5	15	0	0	1
TRAJ23	2	0	0	3886	41	0	11	0	0	2	2132	0	1	122	4	1361	0	0	0	0	0	4	0	24	0	0	0	0	0	0	7221	1416	0	0	0	0	0	0	0	0	7500	275	0	0
TRAJ44	38	13	0	16	5	1	15	9	1	4	3	2	0	652	0	67	2	2	3	0	2	15	2	0	80479	0	0	0	0	3	19	3071	10126	9118	1	5	1	2455	0	12	8636	0	2	0
TRAJ21	3	1	0	16366	9999	0	2	4	0	0	0	0	0	0	0	1	1	255	0	0	0	621	433	0	9221	0	1	0	0	1	1	1	0	0	0	0	2	0	0	2	0	0	0	1
TRAJ20	13	20527	0	7	35565	5438	35	17	0	4	4	3	1	2613	703	286	159	2	2	0	0	9	0	0	354	1319	11	0	3383	13	24450	10	0	10	4	916	15	0	0	170076	14855	3844	324	1
TRAJ41	5	1	0	0	0	1	26	4	0	0	0	0	0	0	0	0	0	70	1	0	86	14363	0	0	4	0	4	0	1	3	22873	4	4689	1	13	1687	8	562	0	0	7627	2220	0	0
TRAJ26	840	54196	0	899	13	1278	31439	5288	1	4	0	0	0	158	0	71	5320	700	6476	1	2209	112374	1	0	7	1	11	0	2039	26	904	3652	15482	24	23	16	4	0	0	61	5	0	2	0
